site_id,site_name,rooftop_kw_dc,rooftop_kw_ac,rooftop_solar_mwp_potential,total_building_footprint_m2,usable_roof_area_m2,type_filter_excluded_m2,building_count_total,building_count_standard_roof,building_count_elongated,building_count_tank_silo,building_count_conveyor,building_count_residential,building_count_isolated_cluster,building_count_other_excluded,building_data_confidence,building_data_reason_flagged,building_data_source,building_data_vintage,polygon_source_tier
semen-bosowa-batam,Semen Bosowa Batam,11447.95,10074.2,11.4479,165183.28,114479.49,42264.92,368,88,3,40,0,166,10.0,71,medium,,gob_v3,2026-02-23,none
semen-jakarta,Semen Jakarta,15231.25,13403.5,15.2312,1577074.43,152312.46,1420901.39,11180,465,6,0,0,10439,381.0,270,medium,,gob_v3,2023-05,none
semen-gresik-city,Semen Gresik City,14152.3,12454.02,14.1523,175808.62,141522.97,25701.95,326,84,6,0,0,183,4.0,53,medium,,gob_v3,2023-05,osm_landuse_industrial
solusi-bangun-cilegon,Solusi Bangun Cilegon,25231.74,22203.93,25.2317,346155.45,252317.36,74179.8,772,167,4,0,0,445,26.0,156,medium,,gob_v3,2026-02-23,none
semen-kupang,Semen Kupang,7662.7,6743.18,7.6627,102054.65,76626.99,21473.58,251,73,0,0,0,143,8.0,35,medium,,gob_v3,2023-05,osm_landuse_industrial
conch-west-kalimantan,Conch West Kalimantan,19356.11,17033.37,19.3561,412649.12,193561.07,187959.16,1657,181,15,0,1,1239,59.0,221,medium,,gob_v3,2026-02-23,none
krakatau-steel-cilegon,Krakatau Steel Cilegon,87514.04,77012.35,87.514,1129774.13,875140.39,73942.02,1171,324,23,0,1,568,0.0,255,medium,,gob_v3,2023-05,claude_building_hull_estimate
krakatau-posco-cilegon,Krakatau Posco Cilegon,820.69,722.21,0.8207,11576.87,8206.9,1963.26,42,8,0,0,0,25,0.0,9,medium,,gob_v3,2026-02-23,osm_landuse_industrial
dexin-steel-morowali,Dexin Steel Morowali,576.65,507.45,0.5767,22031.4,5766.53,15578.04,81,22,2,0,0,6,20.0,51,medium,,gob_v3,2023-05,osm_landuse_industrial
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,53959.57,47484.42,53.9596,597806.91,539595.74,16729.24,241,73,7,0,0,106,0.0,55,medium,,gob_v3,2023-05,osm_landuse_industrial
master-steel-jakarta,Master Steel Jakarta,11756.9,10346.07,11.7569,129008.49,117569.03,8372.66,136,41,1,0,0,65,0.0,29,medium,,gob_v3,2023-05,claude_building_hull_estimate
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,9146.08,8048.55,9.1461,110735.33,91460.76,16403.35,227,75,0,0,0,135,0.0,17,medium,,gob_v3,2023-05,claude_building_hull_estimate
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,9956.54,8761.75,9.9565,111624.12,99565.39,10532.83,130,35,0,0,0,65,1.0,30,medium,,gob_v3,2023-05,osm_landuse_industrial
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),32463.65,28568.01,32.4636,427404.21,324636.46,78172.37,944,119,27,0,2,588,19.0,208,medium,,gob_v3,2023-05,osm_landuse_industrial
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),18058.59,15891.56,18.0586,215506.68,180585.91,27032.1,321,61,3,0,0,119,19.0,138,medium,,gob_v3,2023-05,osm_landuse_industrial
obi-island-industrial-park,Obi Island Industrial Park,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0,low,no_buildings_detected,,,osm_landuse_industrial
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),12305.6,10828.93,12.3056,153726.24,123056.01,24926.86,341,100,1,0,0,199,0.0,41,medium,,gob_v3,2026-02-23,osm_landuse_industrial
nusantara-industri-sejati,Nusantara Industri Sejati,0.0,0.0,0.0,51665.84,0.0,51665.84,442,20,0,0,0,265,25.0,157,medium,,gob_v3,2023-05,claude_building_hull_estimate
