site_id,steel_plant_count,steel_capacity_tpa,steel_plants,steel_has_chinese_ownership,steel_dominant_technology
bumi-serpong-damai,2,2900000,Master Steel Jakarta; Jakarta Prima Steel Industries,False,EAF
kek-singhasari,1,700000,Ispat Indo Sidoarjo,False,EAF
