site_id,wacc_pct,scenario,cf_wind_used,wind_speed_ms,connection_cost_per_kw,effective_capex_usd_per_kw,lcoe_usd_mwh,lcoe_low_usd_mwh,lcoe_high_usd_mwh,is_capex_provisional,tech_id,lifetime_yr
bumi-serpong-damai,16.0,within_boundary,0.05,3.07,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,18.0,within_boundary,0.05,3.07,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,20.0,within_boundary,0.05,3.07,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,4.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,87.57,71.4,112.73,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,6.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,102.7,82.71,133.8,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,8.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,119.19,95.04,156.76,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,10.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,136.78,108.19,181.26,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,12.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,155.25,122.0,206.98,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,14.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,174.39,136.31,233.63,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,16.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,194.04,151.0,260.99,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,18.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,214.05,165.96,288.86,False,TECH_WIND_ONSHORE,27
bumi-serpong-damai,20.0,grid_connected_solar,0.1945,5.64,88.2,1783.2,234.34,181.13,317.11,False,TECH_WIND_ONSHORE,27
setangga,4.0,within_boundary,0.05,3.2,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
setangga,6.0,within_boundary,0.05,3.2,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
setangga,8.0,within_boundary,0.05,3.2,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
setangga,10.0,within_boundary,0.05,3.2,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
setangga,12.0,within_boundary,0.05,3.2,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
setangga,14.0,within_boundary,0.05,3.2,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
setangga,16.0,within_boundary,0.05,3.2,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
setangga,18.0,within_boundary,0.05,3.2,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
setangga,20.0,within_boundary,0.05,3.2,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
setangga,4.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,88.54,72.23,113.91,False,TECH_WIND_ONSHORE,27
setangga,6.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,103.86,83.7,135.22,False,TECH_WIND_ONSHORE,27
setangga,8.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,120.54,96.19,158.43,False,TECH_WIND_ONSHORE,27
setangga,10.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,138.35,109.52,183.2,False,TECH_WIND_ONSHORE,27
setangga,12.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,157.04,123.52,209.2,False,TECH_WIND_ONSHORE,27
setangga,14.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,176.42,138.02,236.15,False,TECH_WIND_ONSHORE,27
setangga,16.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,196.3,152.9,263.81,False,TECH_WIND_ONSHORE,27
setangga,18.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,216.56,168.07,291.99,False,TECH_WIND_ONSHORE,27
setangga,20.0,grid_connected_solar,0.1929,5.61,95.0,1790.0,237.09,183.44,320.55,False,TECH_WIND_ONSHORE,27
tanjung-sauh,4.0,within_boundary,0.1046,4.35,0.0,1650.0,153.93,123.85,200.71,False,TECH_WIND_ONSHORE,27
tanjung-sauh,6.0,within_boundary,0.1046,4.35,0.0,1650.0,179.96,142.79,237.79,False,TECH_WIND_ONSHORE,27
tanjung-sauh,8.0,within_boundary,0.1046,4.35,0.0,1650.0,208.33,163.42,278.19,False,TECH_WIND_ONSHORE,27
tanjung-sauh,10.0,within_boundary,0.1046,4.35,0.0,1650.0,238.6,185.43,321.3,False,TECH_WIND_ONSHORE,27
tanjung-sauh,12.0,within_boundary,0.1046,4.35,0.0,1650.0,270.37,208.54,366.56,False,TECH_WIND_ONSHORE,27
tanjung-sauh,14.0,within_boundary,0.1046,4.35,0.0,1650.0,303.31,232.49,413.46,False,TECH_WIND_ONSHORE,27
tanjung-sauh,16.0,within_boundary,0.1046,4.35,0.0,1650.0,337.11,257.07,461.6,False,TECH_WIND_ONSHORE,27
tanjung-sauh,18.0,within_boundary,0.1046,4.35,0.0,1650.0,371.54,282.12,510.65,False,TECH_WIND_ONSHORE,27
tanjung-sauh,20.0,within_boundary,0.1046,4.35,0.0,1650.0,406.44,307.5,560.35,False,TECH_WIND_ONSHORE,27
tanjung-sauh,4.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,75.21,61.4,96.71,False,TECH_WIND_ONSHORE,27
tanjung-sauh,6.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,88.24,71.16,114.8,False,TECH_WIND_ONSHORE,27
tanjung-sauh,8.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,102.43,81.8,134.52,False,TECH_WIND_ONSHORE,27
tanjung-sauh,10.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,117.57,93.14,155.56,False,TECH_WIND_ONSHORE,27
tanjung-sauh,12.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,133.46,105.06,177.65,False,TECH_WIND_ONSHORE,27
tanjung-sauh,14.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,149.94,117.41,200.54,False,TECH_WIND_ONSHORE,27
tanjung-sauh,16.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,166.84,130.08,224.03,False,TECH_WIND_ONSHORE,27
tanjung-sauh,18.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,184.07,142.99,247.97,False,TECH_WIND_ONSHORE,27
tanjung-sauh,20.0,grid_connected_solar,0.2277,6.23,101.7,1796.7,201.53,156.07,272.23,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,4.0,within_boundary,0.05,3.57,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,6.0,within_boundary,0.05,3.57,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,8.0,within_boundary,0.05,3.57,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,10.0,within_boundary,0.05,3.57,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,12.0,within_boundary,0.05,3.57,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,14.0,within_boundary,0.05,3.57,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,16.0,within_boundary,0.05,3.57,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,18.0,within_boundary,0.05,3.57,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,20.0,within_boundary,0.05,3.57,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,4.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,71.62,58.6,91.89,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,6.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,84.07,67.97,109.12,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,8.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,97.63,78.18,127.89,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,10.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,112.1,89.07,147.92,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,12.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,127.29,100.51,168.95,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,14.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,143.03,112.36,190.74,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,16.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,159.19,124.53,213.11,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,18.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,175.65,136.92,235.9,False,TECH_WIND_ONSHORE,27
kek-arun-lhokseumawe,20.0,grid_connected_solar,0.2415,6.65,126.1,1821.1,192.33,149.48,259.0,False,TECH_WIND_ONSHORE,27
kek-sanur,4.0,within_boundary,0.05,3.36,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
kek-sanur,6.0,within_boundary,0.05,3.36,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-sanur,8.0,within_boundary,0.05,3.36,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-sanur,10.0,within_boundary,0.05,3.36,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-sanur,12.0,within_boundary,0.05,3.36,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-sanur,14.0,within_boundary,0.05,3.36,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-sanur,16.0,within_boundary,0.05,3.36,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-sanur,18.0,within_boundary,0.05,3.36,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-sanur,20.0,within_boundary,0.05,3.36,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-sanur,4.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,58.35,47.61,75.07,False,TECH_WIND_ONSHORE,27
