site_id,site_name,latitude,longitude,pvout_daily_centroid,pvout_centroid,cf_centroid,pvout_daily_best_50km,pvout_best_50km,cf_best_50km,pvout_source,pvout_buildable_best_50km,buildable_area_ha,regional_groundmount_potential_mwp_50km,buildability_constraint,best_solar_site_lat,best_solar_site_lon,best_solar_site_dist_km,within_boundary_area_ha,within_boundary_capacity_mwp,pvout_within_boundary,within_boundary_source,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct
kek-kura-kura,Kura Kura Bali,-8.7312613066451,115.23086607725,4.615,1684.5,0.1923,4.693,1712.9,0.1955,GlobalSolarAtlas-v2,1614.8,850.6,567.1,land_cover,-8.80294,115.59728,41.05,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
kek-galang-batang,Galang Batang,0.91112087616108,104.65970479459,3.633,1326.0,0.1514,3.886,1418.4,0.1619,GlobalSolarAtlas-v2,1316.0,13423.1,8948.7,land_cover,0.94361,104.54122,13.66,1376.7,917.8,1315.5,raster,substation_anchored,GI 150 kV Air Raja (60 MVA No.2),1.0,1.0
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,0.81659915671314,117.93022440699,3.734,1362.9,0.1556,3.898,1422.8,0.1624,GlobalSolarAtlas-v2,1388.1,8776.9,5851.3,land_cover,0.78659,118.01852,10.37,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
kek-nongsa,Nongsa,1.191175886339,104.09214803974,3.616,1319.8,0.1507,3.784,1381.2,0.1577,GlobalSolarAtlas-v2,1318.4,2581.1,1720.7,land_cover,1.0945,104.13873,11.93,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Nongsa,0.9024,1.0
kek-mandalika,Mandalika,-8.8963124944653,116.29090641579,4.528,1652.7,0.1887,4.741,1730.5,0.1975,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
kek-batam-aero-technic,Batam Aero Technic,1.1393365211312,104.12432224421,3.643,1329.7,0.1518,3.8,1387.0,0.1583,GlobalSolarAtlas-v2,1321.7,3527.6,2351.7,land_cover,1.15099,104.09174,3.85,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Nongsa 1,1.0,1.0
kek-tanjung-kelayang,Tanjung Kelayang,-2.5711927695212,107.65499155301,3.551,1296.1,0.148,3.857,1407.8,0.1607,GlobalSolarAtlas-v2,1264.9,4556.4,3037.6,land_cover,-2.75954,107.6908,21.32,0.0,0.0,,theoretical,substation_anchored,GI 70 kV Tanjung Pandan,1.0,1.0
kek-lido,Lido,-6.7536528309529,106.81210085326,3.566,1301.6,0.1486,4.007,1462.6,0.167,GlobalSolarAtlas-v2,1416.6,2820.2,1880.1,land_cover,-6.45033,107.09731,46.15,256.4,170.9,1298.4,raster,best_pvout_fallback,,1.0,1.0
kek-tanjung-lesung,Tanjung Lesung,-6.4817887185833,105.65248380886,3.782,1380.4,0.1576,4.033,1472.0,0.168,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
kek-sei-mangkei,Sei Mangkei,3.1324879221829,99.340577853012,3.626,1323.5,0.1511,3.785,1381.5,0.1577,GlobalSolarAtlas-v2,1365.5,85.9,57.3,kawasan_hutan,3.40248,99.36992,30.2,0.0,0.0,,theoretical,best_pvout_fallback,,0.0574,1.0
