site_id,site_name,nearest_substation_name,nearest_substation_voltage_kv,nearest_substation_capacity_mva,nearest_substation_capacity_source,nearest_substation_regpln,dist_to_nearest_substation_km,has_internal_substation,siting_scenario,dist_solar_to_nearest_substation_km,nearest_substation_to_solar_name,nearest_substation_to_solar_regpln,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,substation_utilization_pct_effective,ruptl_project_type,ruptl_strongest_status,ruptl_earliest_target_year,ruptl_mva_added_total,ruptl_match_confidence,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct,project_scale_solar_mwp
kek-nongsa,Nongsa,GI 150 kV Nongsa,150 kV,3.0,actual,Sumatera,3.35,False,remote_captive,4.34,GI 150 kV Batu Besar,Sumatera,grid_first,True,True,True,7.06,1.0,red,0.65,,,,,,substation_anchored,GI 150 kV Nongsa,1.0,1.0,19.06
kek-mandalika,Mandalika,GI 150 kV Kuta,150 kV,30.0,actual,Nusa Tenggara,1.81,False,remote_captive,5.3,GI 150 kV Kuta,Nusa Tenggara,invest_substation,True,,True,,10.5,red,0.65,,,,,,substation_anchored,GI 150 kV Kuta,1.0,1.0,94.73
kek-batam-aero-technic,Batam Aero Technic,GI 150 kV Nongsa 1,150 kV,60.0,proxy_150kV,Sumatera,3.96,False,remote_captive,3.53,GI 150 kV Nongsa 1,Sumatera,grid_ready,True,,True,,18.0,green,0.7,,,,,,substation_anchored,GI 150 kV Nongsa 1,1.0,1.0,4.47
kek-tanjung-kelayang,Tanjung Kelayang,GI 70 kV Tanjung Pandan,70 kV,30.0,actual,Sumatera,22.42,False,remote_captive,3.54,GI 70 kV Tanjung Pandan,Sumatera,invest_substation,True,,True,,10.5,red,0.65,,,,,,substation_anchored,GI 70 kV Tanjung Pandan,1.0,1.0,37.83
kek-lido,Lido,GI 150 kV Ciawi,150 kV,60.0,proxy_150kV,Jawa-Bali,11.36,False,remote_captive,9.88,GITET 500 kV Cibatu Baru (Deltamas),Jawa-Bali,invest_substation,True,False,True,45.71,18.0,red,0.7,,,,,,best_pvout_fallback,,1.0,1.0,120.8
kek-tanjung-lesung,Tanjung Lesung,GI 150 kV Tanjung Lesung (120 MVA No.1 dan 2),150 kV,120.0,actual,Jawa-Bali,9.06,False,remote_captive,31.67,GI 150 kV Tanjung Lesung (120 MVA No.1 dan 2),Jawa-Bali,invest_substation,True,,True,,30.0,red,0.75,extension,rencana,2028.0,0.0,high,best_pvout_fallback,,0.2082,0.2108,114.0
kek-sei-mangkei,Sei Mangkei,GI 150 kV Kuala Tanjung,150 kV,120.0,actual,Sumatera,26.85,False,remote_captive,15.12,GI 150 kV Tebing Tinggi,Sumatera,invest_substation,True,True,True,32.66,30.0,red,0.75,extension,rencana,2031.0,120.0,high,best_pvout_fallback,,1.0,1.0,299.59
semen-gresik-tuban,Semen Gresik Tuban,GI 150 kV Kerek,150 kV,60.0,proxy_150kV,Jawa-Bali,0.32,False,remote_captive,4.67,GI 150 kV Kerek,Jawa-Bali,invest_substation,True,,True,,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Kerek,0.4742,0.4904,324.19
indocement-citeureup,Indocement Citeureup,GI 150 kV ITP - Konsumen,150 kV,60.0,proxy_150kV,Jawa-Bali,1.02,False,remote_captive,5.05,GI 150 kV Sentul,Jawa-Bali,invest_substation,True,True,True,5.91,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV ITP - Konsumen,0.7834,0.7672,283.73
semen-padang-indarung,Semen Padang Indarung,GI 150 kV Indarung,150 kV,100.0,actual,Sumatera,0.41,False,remote_captive,,,,invest_substation,False,,,,35.0,unknown,0.65,,,,,,,,,,
semen-tonasa,Semen Tonasa,GI 150 kV Tonasa,150 kV,95.0,actual,Sulawesi,0.49,False,remote_captive,,,,invest_substation,False,,,,33.2,unknown,0.65,,,,,,,,,,
sbi-narogong,SBI Narogong,GI 150 kV ITP - Konsumen,150 kV,60.0,proxy_150kV,Jawa-Bali,4.53,False,remote_captive,3.1,GI 150 kV ITP - Konsumen,Jawa-Bali,invest_substation,True,,True,,18.0,red,0.7,,,,,,substation_anchored,GI 70 kV Semen Lama,0.3554,0.3542,144.3
conch-cement-serang,Conch Cement Serang,GI 150 kV Primaethycolindo,150 kV,60.0,proxy_150kV,Jawa-Bali,0.58,False,remote_captive,2.66,GI 150 kV Cilegon Baru (60 MVA No.1),Jawa-Bali,invest_substation,True,False,True,14.61,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV PLTGU Cilegon,1.0,1.0,100.15
conch-cement-north-sulawesi,Conch Cement North Sulawesi,GI 150 kV Lolak,150 kV,30.0,actual,Sulawesi,10.48,False,remote_captive,39.92,GI 150 kV Lolak,Sulawesi,invest_substation,True,,True,,7.5,red,0.75,extension,rencana,2027.0,0.0,high,best_pvout_fallback,,1.0,1.0,94.39
semen-bosowa-maros,Semen Bosowa Maros,GI 150 kV Maros,150 kV,30.0,actual,Sulawesi,2.76,False,remote_captive,,,,invest_substation,False,,,,10.5,unknown,0.65,,,,,,,,,,
red-lion-hongshi-tonga,Red Lion Hongshi Tonga,GI 150 kV Sangatta,150 kV,60.0,actual,Kalimantan,39.05,False,remote_captive,21.68,GI 150 kV Sangatta,Kalimantan,invest_substation,True,,True,,9.0,red,0.85,uprate,committed,2026.0,60.0,high,best_pvout_fallback,,1.0,1.0,96.9
semen-baturaja,Semen Baturaja,GI 150 kV Baturaja,150 kV,180.0,actual,Sumatera,1.35,False,remote_captive,,,,invest_substation,False,,,,45.0,unknown,0.75,extension,other,2025.0,0.0,high,,,,,
