site_id,wacc_pct,scenario,pvout_used,cf_used,connection_cost_per_kw,transmission_cost_per_kw,substation_upgrade_cost_per_kw,effective_capex_usd_per_kw,lcoe_usd_mwh,lcoe_low_usd_mwh,lcoe_high_usd_mwh,is_cf_provisional,is_capex_provisional,tech_id,lifetime_yr
batam-tourism-and-international-healthcare,16.0,grid_connected_solar,pvout_buildable_best_50km,0.1533,169.8,0.0,79.2,1254.1,169.2,152.28,239.48,False,False,TECH006,27
batam-tourism-and-international-healthcare,18.0,grid_connected_solar,pvout_buildable_best_50km,0.1533,169.8,0.0,79.2,1254.1,188.35,169.45,266.88,False,False,TECH006,27
batam-tourism-and-international-healthcare,20.0,grid_connected_solar,pvout_buildable_best_50km,0.1533,169.8,0.0,79.2,1254.1,207.76,186.85,294.65,False,False,TECH006,27
bumi-serpong-damai,4.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,53.65,47.21,80.42,True,False,TECH006,27
bumi-serpong-damai,6.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,64.88,56.92,97.97,True,False,TECH006,27
bumi-serpong-damai,8.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,77.12,67.5,117.09,True,False,TECH006,27
bumi-serpong-damai,10.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,90.18,78.79,137.5,True,False,TECH006,27
bumi-serpong-damai,12.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,103.89,90.65,158.92,True,False,TECH006,27
bumi-serpong-damai,14.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,118.1,102.93,181.12,True,False,TECH006,27
bumi-serpong-damai,16.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,132.69,115.54,203.91,True,False,TECH006,27
bumi-serpong-damai,18.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,147.55,128.39,227.13,True,False,TECH006,27
bumi-serpong-damai,20.0,within_boundary,pvout_centroid,0.1513,0.0,0.0,0.0,960.0,162.6,141.41,250.65,True,False,TECH006,27
bumi-serpong-damai,4.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,56.46,50.6,80.8,False,False,TECH006,27
bumi-serpong-damai,6.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,68.49,61.25,98.57,False,False,TECH006,27
bumi-serpong-damai,8.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,81.59,72.84,117.94,False,False,TECH006,27
bumi-serpong-damai,10.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,95.58,85.22,138.6,False,False,TECH006,27
bumi-serpong-damai,12.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,110.26,98.21,160.29,False,False,TECH006,27
bumi-serpong-damai,14.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,125.47,111.67,182.78,False,False,TECH006,27
bumi-serpong-damai,16.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,141.08,125.49,205.85,False,False,TECH006,27
bumi-serpong-damai,18.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,156.99,139.57,229.36,False,False,TECH006,27
bumi-serpong-damai,20.0,grid_connected_solar,pvout_buildable_best_50km,0.1663,125.3,0.0,0.0,1130.3,173.11,153.84,253.18,False,False,TECH006,27
setangga,4.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,53.14,46.76,79.65,True,False,TECH006,27
setangga,6.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,64.27,56.38,97.04,True,False,TECH006,27
setangga,8.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,76.39,66.86,115.98,True,False,TECH006,27
setangga,10.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,89.33,78.05,136.19,True,False,TECH006,27
setangga,12.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,102.91,89.79,157.41,True,False,TECH006,27
setangga,14.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,116.98,101.96,179.4,True,False,TECH006,27
setangga,16.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,131.43,114.44,201.97,True,False,TECH006,27
setangga,18.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,146.15,127.17,224.97,True,False,TECH006,27
setangga,20.0,within_boundary,pvout_centroid,0.1527,0.0,0.0,0.0,960.0,161.06,140.06,248.28,True,False,TECH006,27
setangga,4.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,64.89,58.63,90.9,False,False,TECH006,27
setangga,6.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,78.82,71.08,110.97,False,False,TECH006,27
setangga,8.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,93.99,84.64,132.83,False,False,TECH006,27
setangga,10.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,110.18,99.11,156.17,False,False,TECH006,27
setangga,12.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,127.18,114.3,180.66,False,False,TECH006,27
setangga,14.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,144.8,130.05,206.04,False,False,TECH006,27
setangga,16.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,162.88,146.21,232.1,False,False,TECH006,27
setangga,18.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,181.3,162.68,258.64,False,False,TECH006,27
setangga,20.0,grid_connected_solar,pvout_buildable_best_50km,0.1556,139.6,0.0,80.0,1224.6,199.97,179.36,285.54,False,False,TECH006,27
tanjung-sauh,4.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,54.19,47.68,81.22,True,False,TECH006,27
