site_id,captive_perpres_112_exempt,captive_perpres_112_exemption_basis,captive_phaseout_year_baseline,captive_phaseout_year_strict_scenario,captive_subject_to_strict_scenario,captive_perpres_112_source,captive_perpres_112_verification_status
gunung-raja-paksi-bekasi,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
master-steel-jakarta,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
jakarta-prima-steel-industries,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
ispat-indo-sidoarjo,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
virtue-dragon-nickel-industrial-park-vdnip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
bantaeng-industrial-park-bip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
obi-island-industrial-park,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indonesia-pomalaa-industry-park-ipip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
nusantara-industri-sejati,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indonesia-morowali-industrial-park-imip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
stardust-estate-invesment-sei,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
industrial-weda-bay-industrial-park-iwip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
buli-industrial-park,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
indonesia-konawe-industrial-park-ikip,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
inalum-asahan,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
freeport-smelter-gresik,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
pupuk-kaltim-bontang,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
pupuk-sriwidjaja-palembang,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
petrokimia-gresik,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
pupuk-kujang-cikampek,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
pupuk-iskandar-muda-lhokseumawe,True,strategic_industry,2050,2050,False,Perpres 112/2022 Art. 10 (sector default),sector_default
