site_id,site_name,latitude,longitude,wind_speed_centroid_ms,wind_speed_best_50km_ms,cf_wind_centroid,cf_wind_best_50km,wind_class,wind_source,wind_buildable_area_ha,max_wind_capacity_mwp,wind_buildability_constraint,wind_speed_buildable_best_ms,cf_wind_buildable_best,best_wind_site_lat,best_wind_site_lon,best_wind_site_dist_km
sbi-narogong,SBI Narogong,-6.48,106.96,3.03,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,71060.0,2842.4,unconstrained,4.09,0.0862,-6.08501,106.74546,49.91
conch-cement-serang,Conch Cement Serang,-5.892955,106.082135,3.66,6.33,0.0528,0.2311,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.95632,106.10977,7.68
conch-cement-north-sulawesi,Conch Cement North Sulawesi,0.895624,124.081963,4.33,9.62,0.103,0.3647,I,GlobalWindAtlas-v3,16866.0,674.6,unconstrained,3.31,0.05,1.22394,124.01193,37.33
semen-bosowa-maros,Semen Bosowa Maros,-4.95,119.58,2.65,11.99,0.0,0.4197,I,GlobalWindAtlas-v3,224468.1,8978.7,unconstrained,5.8,0.2063,-5.22171,119.92501,48.71
red-lion-hongshi-tonga,Red Lion Hongshi Tonga,0.988195,117.481986,2.65,5.96,0.0,0.217,III,GlobalWindAtlas-v3,12132.8,485.3,unconstrained,4.0,0.0803,0.60815,117.49527,42.28
semen-baturaja,Semen Baturaja,-4.116636,104.161351,2.57,5.95,0.0,0.2164,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
sbi-tuban,SBI Tuban,-6.816488,111.885383,4.54,7.08,0.118,0.2558,III,GlobalWindAtlas-v3,243626.4,9745.1,unconstrained,5.19,0.163,-6.38817,111.75387,49.79
indocement-palimanan,Indocement Palimanan,-6.72,108.38,2.67,8.2,0.0,0.305,II,GlobalWindAtlas-v3,203418.7,8136.7,unconstrained,5.74,0.2017,-6.77503,108.65692,31.19
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,-6.954596,106.247008,4.7,8.41,0.1287,0.3157,II,GlobalWindAtlas-v3,41774.3,1671.0,unconstrained,6.81,0.2469,-7.18463,106.01536,36.16
sbi-cilacap,SBI Cilacap,-7.687489,109.022305,4.04,8.1,0.0828,0.2999,II,GlobalWindAtlas-v3,111471.2,4458.8,unconstrained,5.57,0.1902,-7.2925,109.03158,43.93
semen-imasco-asiatic-jember,Semen Imasco Asiatic Jember,-8.348729,113.49255,3.18,9.04,0.05,0.3416,I,GlobalWindAtlas-v3,23075.5,923.0,unconstrained,4.95,0.1467,-8.02041,113.8011,49.86
si-gresik-rembang,SI Gresik Rembang,-6.866206,111.458833,3.92,7.08,0.0738,0.2558,III,GlobalWindAtlas-v3,222752.7,8910.1,unconstrained,5.07,0.1552,-6.8629,111.51894,6.65
semeru-surya-semen-kutai,Semeru Surya Semen Kutai,-0.541619,117.146701,3.66,4.27,0.0529,0.0986,III,GlobalWindAtlas-v3,25300.9,1012.0,unconstrained,3.87,0.0698,-0.955,117.16837,46.03
indocement-kotabaru-tarjun,Indocement Kotabaru Tarjun,-3.271007,116.105835,3.08,5.61,0.05,0.1929,III,GlobalWindAtlas-v3,8334.3,333.4,unconstrained,3.64,0.0513,-3.60938,115.90178,43.92
semen-grobogan,Semen Grobogan,-7.089975,110.622539,3.63,7.74,0.0502,0.2822,II,GlobalWindAtlas-v3,220340.3,8813.6,unconstrained,4.82,0.1371,-7.33668,110.7491,30.78
semen-garuda-bekasi,Semen Garuda Bekasi,-6.460507,107.212892,2.23,5.64,0.0,0.1945,III,GlobalWindAtlas-v3,190612.4,7624.5,unconstrained,4.15,0.0908,-6.18219,107.56505,49.72
sbi-andalas-lhoknga,SBI Andalas Lhoknga,5.451139,95.246351,4.26,10.81,0.0984,0.3962,I,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
semen-jawa-scg-sukabumi,Semen Jawa SCG Sukabumi,-6.976314,106.861777,3.1,8.41,0.05,0.3157,II,GlobalWindAtlas-v3,15120.1,604.8,unconstrained,5.86,0.2103,-7.17302,106.51344,44.23
semen-bosowa-banyuwangi,Semen Bosowa Banyuwangi,-8.169003,114.391943,4.48,10.13,0.1135,0.3825,I,GlobalWindAtlas-v3,9626.2,385.0,unconstrained,5.95,0.2164,-7.78235,114.39236,42.99
cemindo-gemilang-ciwandan,Cemindo Gemilang Ciwandan,-6.022556,105.960336,3.81,6.74,0.0651,0.2446,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.96092,106.10453,17.36
conch-south-kalimantan,Conch South Kalimantan,-2.05,115.42,1.81,5.54,0.0,0.1881,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
cemindo-gemilang-batam,Cemindo Gemilang Batam,1.058643,104.135548,4.36,6.23,0.1049,0.2277,III,GlobalWindAtlas-v3,7141.9,285.7,unconstrained,4.34,0.1037,1.21195,104.54883,49.01
semen-bosowa-batam,Semen Bosowa Batam,1.058782,104.136023,4.28,6.23,0.0993,0.2277,III,GlobalWindAtlas-v3,7141.9,285.7,unconstrained,4.34,0.1037,1.21209,104.54931,49.01
semen-jakarta,Semen Jakarta,-6.037574,105.985182,3.58,6.74,0.05,0.2446,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.95927,106.10436,15.8
semen-gresik-city,Semen Gresik City,-7.170242,112.645549,3.65,5.38,0.0517,0.1763,III,GlobalWindAtlas-v3,234134.6,9365.4,unconstrained,4.45,0.1114,-7.20861,113.08037,48.16
solusi-bangun-cilegon,Solusi Bangun Cilegon,-6.020475,105.958559,3.92,6.74,0.0735,0.2446,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.95883,106.10276,17.36
semen-kupang,Semen Kupang,-10.194909,123.540076,5.56,9.66,0.1889,0.3664,I,GlobalWindAtlas-v3,112993.1,4519.7,unconstrained,6.03,0.221,-9.98326,123.54622,23.54
conch-west-kalimantan,Conch West Kalimantan,0.032069,109.23757,3.7,6.07,0.056,0.2222,III,GlobalWindAtlas-v3,119108.8,4764.4,unconstrained,4.42,0.1091,0.23538,109.00092,34.69
krakatau-steel-cilegon,Krakatau Steel Cilegon,-6.007021,106.001766,3.65,6.74,0.0521,0.2446,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.96205,106.10431,12.39
krakatau-posco-cilegon,Krakatau Posco Cilegon,-5.998661,105.99866,3.91,6.74,0.0727,0.2446,III,GlobalWindAtlas-v3,171.2,6.8,unconstrained,3.88,0.0706,-5.96202,106.10954,12.92
