kek_id,kek_name,province,grid_region_id,kek_type,status,latitude,longitude,pvout_centroid,cf_centroid,pvout_best_50km,cf_best_50km,pvout_buildable_best_50km,buildable_area_ha,max_captive_capacity_mwp,buildability_constraint,resource_quality,dist_to_nearest_substation_km,nearest_substation_capacity_mva,siting_scenario,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,within_boundary_coverage_pct,firm_solar_coverage_pct,nighttime_demand_mwh,storage_required_mwh,storage_gap_pct,project_viable,demand_mwh_2030,lcoe_low_usd_mwh,lcoe_mid_usd_mwh,lcoe_high_usd_mwh,lcoe_grid_connected_usd_mwh,lcoe_grid_connected_low_usd_mwh,lcoe_grid_connected_high_usd_mwh,connection_cost_per_kw,transmission_cost_per_kw,substation_upgrade_cost_per_kw,grid_investment_needed_usd,cf_used,is_cf_provisional,is_capex_provisional,lcoe_wind_mid_usd_mwh,lcoe_wind_allin_mid_usd_mwh,cf_wind,wind_speed_ms,best_re_technology,best_re_lcoe_mid_usd_mwh,re_competitive_gap_pct,dashboard_rate_usd_mwh,dashboard_rate_label,is_grid_cost_provisional,tariff_i3_usd_mwh,tariff_i4_usd_mwh,solar_competitive_gap_pct,solar_attractive,lcoe_mid_wacc8_usd_mwh,solar_competitive_gap_wacc8_pct,solar_now_at_wacc8,action_flag,solar_now,invest_transmission,invest_substation,invest_battery,grid_first,invest_resilience,plan_late,green_share_geas,pre2030_solar_mw,post2030_share,grid_upgrade_pre2030,ruptl_summary,grid_emission_factor_t_co2_mwh,carbon_breakeven_usd_tco2,clean_power_advantage,data_completeness
kek-morotai,Morotai,North Maluku,MALUKU,Pariwisata,Active,2.3750901219475,128.41811690865,1310.3,0.1496,1572.4,0.1795,,0.0,0.0,land_cover,provisional (no buildability filter),213.96,120.0,remote_captive,grid_first,False,False,,,42.0,unknown,0.0,,,,,False,555287.04,74.3,85.04,129.65,153.12,144.17,190.3,1149.8,0.0,,,0.1496,True,False,499.14,179.09,0.05,3.04,solar,85.04,34.8,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,34.8,False,72.72,15.3,False,no_solar_resource,False,False,False,False,False,False,False,0.0,0,0.0,False,0 MW solar planned in MALUKU by 2030,0.6,36.6,-34.8,complete
kek-gresik,Gresik,East Java,JAVA_BALI,Industri,Active,-7.0854668845705,112.60680989557,1546.5,0.1765,1635.6,0.1867,1612.2,10674.9,7116.6,land_cover,filtered,2.6,330.0,remote_captive,within_boundary,True,False,True,48.09,115.5,red,1.551902490525933,19.533,834295.0,958959.8,0.583,True,1430220.0,63.47,72.65,110.76,77.72,68.99,113.98,83.2,0.0,,592101120.0,0.1751,False,False,303.99,177.18,0.0821,4.03,solar,72.65,15.2,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,15.2,False,62.13,-1.5,True,invest_resilience,False,False,False,False,False,True,False,0.48009979105611084,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,12.0,-15.2,complete
kek-likupang,Likupang,North Sulawesi,SULAWESI,Pariwisata,Active,1.680721711081,125.15739596932,1580.8,0.1805,1618.8,0.1848,,0.0,0.0,land_cover,provisional (no buildability filter),7.43,,remote_captive,invest_substation,False,False,,,,unknown,0.0,,,,,False,99489.6,61.59,70.49,107.47,79.68,70.98,115.79,117.2,0.0,,,0.1805,True,False,287.53,71.53,0.0868,4.1,solar,70.49,11.7,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,11.7,False,60.28,-4.4,True,no_solar_resource,False,False,False,False,False,False,False,0.25029793410163714,206,0.4938574938574939,True,206 MW solar planned in SULAWESI by 2030,0.63,11.8,-11.7,complete
kek-bitung,Bitung,North Sulawesi,SULAWESI,Industri,Active,1.4243289186209,125.10987982233,1504.9,0.1718,1618.8,0.1848,,0.0,0.0,kawasan_hutan,provisional (no buildability filter),1.71,90.0,within_boundary,within_boundary,False,False,,,31.5,unknown,0.0,,,,,False,352440.0,64.69,74.04,112.89,77.76,69.07,113.88,88.5,0.0,,,0.1718,True,False,499.14,70.6,0.05,3.0,solar,74.04,17.4,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,17.4,False,63.32,0.4,False,no_solar_resource,False,False,False,False,False,True,False,0.2502979341016371,206,0.4938574938574939,True,206 MW solar planned in SULAWESI by 2030,0.63,17.4,-17.4,complete
kek-palu,Palu,Central Sulawesi,SULAWESI,Industri,Active,-0.71188721731303,119.8703393558,1451.6,0.1657,1541.0,0.1759,1522.4,16435.5,10957.0,land_cover,filtered,17.38,90.0,remote_captive,within_boundary,True,False,True,33.66,31.5,red,1.4197532929292929,40.933,577500.0,663793.1,0.583,True,990000.0,67.55,77.31,117.87,86.32,77.07,124.71,139.6,0.0,,1529597200.0,0.1645,False,False,,120.63,0.0,2.66,solar,77.31,22.6,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,22.6,False,66.11,4.8,False,not_competitive,False,False,False,False,False,False,False,0.25029793410163714,206,0.4938574938574939,True,206 MW solar planned in SULAWESI by 2030,0.63,22.6,-22.6,complete
kek-kura-kura,Kura Kura Bali,Bali,JAVA_BALI,Pariwisata,Active,-8.7312613066451,115.23086607725,1684.5,0.1923,1712.9,0.1955,1685.9,935.7,623.8,land_cover,filtered,2.58,,remote_captive,grid_ready,True,False,True,,,unknown,0.0,10.217,146412.0,168289.7,0.583,True,250992.0,57.79,66.15,100.85,75.29,66.94,109.96,98.2,0.0,,61257160.0,0.1923,True,False,428.82,91.28,0.0582,3.73,solar,66.15,4.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,4.9,False,56.57,-10.3,True,not_competitive,False,False,False,False,False,False,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,3.8,-4.9,complete
kek-galang-batang,Galang Batang,Riau Islands,SUMATERA,Industri,Active,0.91112087616108,104.65970479459,1326.0,0.1514,1418.4,0.1619,1354.2,15316.1,10210.7,land_cover,filtered,16.45,60.0,remote_captive,within_boundary,True,False,True,,21.0,red,1.0285639173704821,22.568,898436.0,1032685.1,0.583,True,1540176.0,74.03,84.73,129.18,104.57,94.18,147.74,233.8,0.0,,2387261660.0,0.1501,False,False,236.34,124.74,0.1056,4.37,solar,84.73,34.3,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,34.3,False,72.46,14.9,False,not_competitive,False,False,False,False,False,False,False,0.2192503980729962,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,28.1,-34.3,complete
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,East Kalimantan,KALIMANTAN,Industri,Active,0.81659915671314,117.93022440699,1362.9,0.1556,1422.8,0.1624,1399.0,9981.5,6654.3,land_cover,filtered,55.64,60.0,remote_captive,within_boundary,True,False,True,,21.0,red,1.4955698659541914,61.772,214575.9,246639.0,0.583,True,367844.4,71.23,81.52,124.3,97.85,87.79,139.63,190.2,0.0,,1265647860.0,0.156,False,False,499.14,138.42,0.05,3.32,solar,81.52,29.2,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,29.2,False,69.72,10.5,False,not_competitive,False,False,False,False,False,False,False,0.7699816503995907,327,0.2997858672376874,True,327 MW solar planned in KALIMANTAN by 2030,1.16,15.9,-29.2,complete
kek-nongsa,Nongsa,Riau Islands,SUMATERA,Pariwisata,Active,1.191175886339,104.09214803974,1319.8,0.1507,1381.2,0.1577,1342.8,2667.2,1778.1,land_cover,filtered,3.35,3.0,remote_captive,grid_first,True,False,True,11.77,1.0,red,0.0,70.26,48936.3,56248.6,0.583,True,83890.79999999999,73.76,84.43,128.72,100.3,89.82,143.83,169.8,0.0,,301921380.0,0.1507,True,False,274.86,121.26,0.0908,4.15,solar,84.43,33.8,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,33.8,False,72.2,14.5,False,not_competitive,False,False,False,False,False,False,False,0.2192503980729962,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,27.7,-33.8,complete
kek-mandalika,Mandalika,West Nusa Tenggara,NTB,Pariwisata,Active,-8.8963124944653,116.29090641579,1652.7,0.1887,1730.5,0.1975,,0.0,0.0,kawasan_hutan,provisional (no buildability filter),1.81,30.0,remote_captive,invest_substation,False,False,,,10.5,unknown,0.0,,,,,False,521977.68000000005,58.91,67.42,102.79,72.78,64.64,106.56,89.0,0.0,,,0.1887,True,False,252.86,79.4,0.0987,4.27,solar,67.42,6.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,6.9,False,57.66,-8.6,True,no_solar_resource,False,False,False,False,False,False,False,0.0,0,0.0,False,0 MW solar planned in NTB by 2030,1.27,3.4,-6.9,complete
kek-batam-aero-technic,Batam Aero Technic,Riau Islands,SUMATERA,Industri,Active,1.1393365211312,104.12432224421,1329.7,0.1518,1387.0,0.1583,1356.0,4560.1,3040.1,land_cover,filtered,3.96,,remote_captive,invest_substation,True,False,True,52.45,,unknown,0.0,511.105,11550.0,13275.9,0.583,True,19800.0,73.21,83.8,127.76,104.77,94.39,147.88,238.1,0.0,,723847810.0,0.1518,True,False,257.29,124.97,0.097,4.24,solar,83.8,32.8,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,32.8,False,71.66,13.6,False,not_competitive,False,False,False,False,False,False,False,0.21925039807299618,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,26.9,-32.8,complete
kek-tanjung-kelayang,Tanjung Kelayang,Bangka Belitung Islands,SUMATERA,Pariwisata,Active,-2.5711927695212,107.65499155301,1296.1,0.148,1407.8,0.1607,1319.8,4814.3,3209.5,land_cover,filtered,22.42,30.0,remote_captive,within_boundary,True,False,True,,10.5,red,1.3618675136515768,66.325,95373.6,109624.8,0.583,True,163497.59999999998,75.16,86.02,131.16,106.23,95.57,150.52,220.8,0.0,,708657600.0,0.1479,False,False,296.4,128.02,0.0842,4.06,solar,86.02,36.4,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,36.4,False,73.57,16.6,False,not_competitive,False,False,False,False,False,False,False,0.2192503980729962,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,29.8,-36.4,complete
kek-lido,Lido,West Java,JAVA_BALI,Pariwisata,Active,-6.7536528309529,106.81210085326,1301.6,0.1486,1462.6,0.167,1416.6,4443.9,2962.6,land_cover,filtered,11.36,,remote_captive,within_boundary,True,False,True,45.71,,unknown,1.6601670673076925,19.84,305760.0,351448.3,0.583,True,524160.0,77.65,88.88,135.51,91.99,82.05,133.25,129.4,0.0,,383360440.0,0.1431,False,False,420.15,102.58,0.0594,3.74,solar,88.88,40.9,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,40.9,False,76.01,20.5,False,not_competitive,False,False,False,False,False,False,False,0.4800997910561108,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,32.2,-40.9,complete
kek-tanjung-lesung,Tanjung Lesung,Banten,JAVA_BALI,Pariwisata,Active,-6.4817887185833,105.65248380886,1380.4,0.1576,1472.0,0.168,,0.0,0.0,kawasan_hutan,provisional (no buildability filter),9.06,120.0,remote_captive,invest_substation,False,False,,,42.0,unknown,0.0,,,,,False,756000.0,70.53,80.72,123.07,88.22,78.66,127.94,125.3,0.0,,,0.1576,True,False,151.9,69.95,0.1643,5.2,solar,80.72,28.0,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,28.0,False,69.03,9.4,False,no_solar_resource,False,False,False,False,False,False,False,0.4800997910561107,1610,0.37207488299531977,True,1610 MW solar planned in JAVA_BALI by 2030,0.8,22.1,-28.0,complete
kek-sei-mangkei,Sei Mangkei,North Sumatra,SUMATERA,Industri,Active,3.1324879221829,99.340577853012,1323.5,0.1511,1381.5,0.1577,1365.5,85.9,57.3,kawasan_hutan,filtered,26.85,120.0,remote_captive,invest_substation,True,False,True,,42.0,yellow,0.0572467586937546,0.144,771066.4,886283.3,0.583,True,1321828.2,73.72,84.38,128.64,96.19,85.89,139.0,139.1,0.0,,7970430.0,0.1508,False,False,,208.19,0.0,2.65,solar,84.38,33.8,63.08,"I-4/TT LWBP, Permen ESDM No.7/2024",False,65.56,63.08,33.8,False,72.16,14.4,False,not_competitive,False,False,False,False,False,False,False,0.2192503980729962,660,0.589041095890411,True,660 MW solar planned in SUMATERA by 2030,0.77,27.7,-33.8,complete
