,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
4786,"DANTOSAN PERCON PERKASA, PT",JAWA BARAT,KARAWANG,DUSUN MANGGA BESAR II RT 13/04,23957,INDUSTRI MORTAR ATAU BETON SIAP PAKAI,-6.385896109,107.3749519,POINT (107.3749519 -6.385896109)
4787,"DANWO STEEL SEJATI, PT",JAWA BARAT,KARAWANG,JL. RAYA KLARI,25113,INDUSTRI KONSTRUKSI BERAT SIAP PASANG DARI BAJA UNTUK BANGUNAN,-6.354338803,107.3457468,POINT (107.3457468 -6.354338803)
4788,"DEAN SHOES, PT",JAWA BARAT,KARAWANG,DUSUN SERANG,15202,INDUSTRI SEPATU OLAHRAGA,-6.391050187,107.3949544,POINT (107.3949544 -6.391050187)
4789,DENGENSHA INDONESIA,JAWA BARAT,KARAWANG,DUSUN CALUNG RT.04/01 KARANG MULYA,28224,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGELASAN YANG MENGGUNAKAN ARUS LISTRIK,-6.340819793,107.2447346,POINT (107.2447346 -6.340819793)
4790,DIC GRAFIKS,JAWA BARAT,KARAWANG,ANGGADITA/RUMAMBE 1,20116,"INDUSTRI KIMIA DASAR ORGANIK UNTUK  BAHAN BAKU ZAT WARNA DAN PIGMEN, ZAT WARNA DAN PIGMEN",-6.351878957,107.3323829,POINT (107.3323829 -6.351878957)
4791,"DIPSOL INDONESIA, PT",JAWA BARAT,KARAWANG,KAW INDUSTRI SURYA CIPTA KAV A-11 BC,20118,INDUSTRI KIMIA DASAR ORGANIK YANG MENGHASILKAN BAHAN KIMIA KHUSUS,-6.390171826,107.3322308,POINT (107.3322308 -6.390171826)
4792,DNP INDONESIA,JAWA BARAT,KARAWANG,JL. MALIGI RAYA LOT F1 DAN F2 KAWASAN INDUSTRI KIIC,17022,INDUSTRI KEMASAN DAN KOTAK DARI KERTAS DAN KARTON,-6.1956376,106.9165603,POINT (106.9165603 -6.1956376)
4793,"DOWA THERMOTHEC INDONESIA, PT",JAWA BARAT,KARAWANG,"KAWASAN INDUSTRI KIIC JL. MALIGI VI LOT 6-4,",25910,"INDUSTRI PENEMPAAN, PENGEPRESAN, PENCETAKAN DAN PEMBENTUKAN LOGAM; METALURGI BUBUK",-6.365041009,107.2762124,POINT (107.2762124 -6.365041009)
4794,"EAST HOPE AGRICULTURE IND., PT",JAWA BARAT,KARAWANG,JL. SURYA LESTARI KAV 1 - 17B1,10802,INDUSTRI KONSENTRAT MAKANAN HEWAN,-6.385839155,107.3267846,POINT (107.3267846 -6.385839155)
4795,"ECHO ADVANCED TECHNOLOGY INDONESIA, PT",JAWA BARAT,KARAWANG,BLOK E1-6 TT TECHNO PARK KIM,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.375683732,107.3157278,POINT (107.3157278 -6.375683732)
4796,"EHWA INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MITRA TIMUR II BLOK D NO. 8-9  KAWASAN INDUSTRI MITRA,24103,INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI,-6.37756002,107.3186412,POINT (107.3186412 -6.37756002)
4797,"ELASTOMIX INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MITRA SELATAN VI BLOK H8,17019,INDUSTRI KERTAS LAINNYA,-6.378977883,107.3049852,POINT (107.3049852 -6.378977883)
4798,"ELRINGKLINGER INDONESIA, PT",JAWA BARAT,KARAWANG,"JL. MITRA RAYA II, BLOK E-6",29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.377904185,107.3132355,POINT (107.3132355 -6.377904185)
4799,"EMPAT PERDANA CARTON, PT",JAWA BARAT,KARAWANG,JL. RANGGAGEDE NO.147 GEMPOL,17012,INDUSTRI KERTAS BUDAYA,-6.289721199,107.2858224,POINT (107.2858224 -6.289721199)
4800,"E-PACK INDONESIA, PT",JAWA BARAT,KARAWANG,KAWASAN INDUSTRI SURYA CIPTA,20221,INDUSTRI CAT DAN TINTA CETAK,-6.289717866,107.2858217,POINT (107.2858217 -6.289717866)
4801,ETEX BUILDING PERFORMANCE INDONESIA,JAWA BARAT,KARAWANG,JL. SURYA UTAMA KAV. 1 /65 B1. KAWASAN INDUSTRI SURYA CIPTA,23955,INDUSTRI BARANG DARI ASBES UNTUK KEPERLUAN BAHAN BANGUNAN,-6.418431531,107.3526257,POINT (107.3526257 -6.418431531)
4802,"EUNSEUN DESIGN WORLD, PT",JAWA BARAT,KARAWANG,WALAHAR KP MANGGA BESAR 2,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.38064653,107.3801687,POINT (107.3801687 -6.38064653)
4803,"EUTTEM GLOBAL, PT",JAWA BARAT,KARAWANG,"KAWASAN INDUSTRI KUJANG CIKAMPEK (KIKC), JL. KAWASAN INDUSTRI KAV",13999,INDUSTRI TEKSTIL LAINNYA YTDL,-6.417883244,107.4396775,POINT (107.4396775 -6.417883244)
4804,EXEDY MANUFACTURING INDONESIA,JAWA BARAT,KARAWANG,JL. PERMATA V LOT EE 3 KAWASAN INDUSTRI KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.355481964,107.3013702,POINT (107.3013702 -6.355481964)
4805,"F TECH INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI XI LOT V-3 KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.383476458,107.2669221,POINT (107.2669221 -6.383476458)
4806,FAJAR INTI PLASINDO,JAWA BARAT,KARAWANG,JL. PROKLAMASI KM. 6 RT. 004 RW. 013,22220,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN,-6.227232531,107.2857982,POINT (107.2857982 -6.227232531)
4807,"FAJAR PERKASA, PT",JAWA BARAT,KARAWANG,KERAJAN I FINTUNGKERTA,28179,INDUSTRI MESIN DAN PERALATAN KANTOR LAINNYA,-6.342932493,107.3412595,POINT (107.3412595 -6.342932493)
4808,"FCC INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI III LOT J-I KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.366912236,107.269332,POINT (107.269332 -6.366912236)
4809,"FINE SINTER INDONESIA, PT",JAWA BARAT,KARAWANG,BLOK E 1-6 TT  TECHNO PARK KIM II,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.378151767,107.3138737,POINT (107.3138737 -6.378151767)
4810,"FIRMENICH AROMATICS INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI VIII LOTS-1 KAWASAN INDUSTRI KIIC,10772,INDUSTRI BUMBU MASAK DAN PENYEDAP MASAKAN,-6.379264648,107.2704906,POINT (107.2704906 -6.379264648)
4811,"FREY  ABADI INDOTAMA, PT",JAWA BARAT,KARAWANG,JL. MALIGI III LOT J. NO. 24 KIIC,10732,INDUSTRI MAKANAN DARI COKELAT DAN KEMBANG GULA DARI COKLAT,-6.369734041,107.269578,POINT (107.269578 -6.369734041)
4812,"FU-HSIUNG MOLD INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI VIII LOT R-1 KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.379925058,107.2690657,POINT (107.2690657 -6.379925058)
4813,"FUJI KINZOKU INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MITRA RAYA II BLOK E1,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.373886605,107.3154346,POINT (107.3154346 -6.373886605)
4814,"FUJI OOZX INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MITRA BARAT II  H2 KIM NO.11,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.38139584,107.3059089,POINT (107.3059089 -6.38139584)
