,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
0,"KARYA TANAH SUBUR, PT",ACEH,ACEH BARAT,DUSUN RASA SAYANG PADANG SIKABU,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.33946,96.18205,POINT (96.18205 4.33946)
1,"ILHAS JASA BERSAMA, PT",ACEH,ACEH BESAR,LAMJRUEN,33111,"REPARASI PRODUK LOGAM SIAP PASANG UNTUK BANGUNAN, TANGKI, TANDON AIR DAN GENERATOR UAP",5.363291,95.584877,POINT (95.584877 5.363291)
2,"LHOKNGA BETON, PT",ACEH,ACEH BESAR,JL. BANDA ACEH MEULABOH KM 10,23957,INDUSTRI MORTAR ATAU BETON SIAP PAKAI,5.498992,95.264608,POINT (95.264608 5.498992)
3,"DELIMA MAKMUR, PT",ACEH,ACEH SINGKIL,SITUBAN MAKMUR,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.246916,98.030724,POINT (98.030724 2.246916)
4,"MOPOLI RAYA, PT",ACEH,ACEH TAMIANG,JL. SUKARAMAI -RANTAU GEDUNG BIARA,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.29073,98.15246,POINT (98.15246 4.29073)
5,"SISIRAU, PT",ACEH,ACEH TAMIANG,"JL. BANDA ACEH MEDAN, ALUR GANTUNG",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.20147,98.06387,POINT (98.06387 4.20147)
6,"TRI AGRO PALMA TAMIANG, PT",ACEH,ACEH TAMIANG,DUSUN KARYA SEUMADAM,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),4.18587,98.04271,POINT (98.04271 4.18587)
7,JAYA MEDIA INTERNUSA,ACEH,ACEH TENGAH,JL. KP KUTE BARU,20294,INDUSTRI MINYAK ATSIRI,4.482648317,96.87675476,POINT (96.87675476 4.482648317)
8,"PUPUK ISKANDAR MUDA, PT",ACEH,ACEH UTARA,Jl. MEDAN - BNA PO BOX 21 KR. GEUKUEH,20122,INDUSTRI PUPUK BUATAN TUNGGAL HARA MAKRO PRIMER,5.23074,97.03347,POINT (97.03347 5.23074)
9,"AMP PLANTATION, PT",SUMATERA BARAT,AGAM,"TAPIAN KANDIS, NAGARI SALAREH AIA",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-0.1545742,100.0177023,POINT (100.0177023 -0.1545742)
10,CAHAYA AGAM LESTARI,SUMATERA BARAT,AGAM,JL. RAYA BUKITTINGGI MEDAN KM 5 GADUT KEC. TILATANG KAMANG,31009,INDUSTRI FURNITUR LAINNYA,-0.27848,100.36636,POINT (100.36636 -0.27848)
11,"MUTIARA AGAM, PT",SUMATERA BARAT,AGAM,"TIKU V JORONG, KEC. TANJUNG MUTIARA KABUPATEN AGAM",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-0.31897,99.8769,POINT (99.8769 -0.31897)
12,"ARABIKATAMA KHATULISTIWA FISHING INDUSTRY, PT",MALUKU,AMBON,"KOMP, TNI AU LANUD PATTIMURA",10213,INDUSTRI PEMBEKUAN IKAN,-3.70552,128.10166,POINT (128.10166 -3.70552)
13,"AGRINDO INDAH PERSADA, PT",SUMATERA UTARA,ASAHAN,DUSUN 6 BP MANDOGE,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.77055,99.39287,POINT (99.39287 2.77055)
14,"AGRO SERASI LESTARI, PT",SUMATERA UTARA,ASAHAN,SIMPANG MAINANG RAHUNING II RAHUNING  KAB. ASAHAN SUMATERA UTARA,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.70915,99.61758,POINT (99.61758 2.70915)
15,"CITRA SAWIT INDAH LESTARI, PT",SUMATERA UTARA,ASAHAN,BANGUN BARU SEI KEPAYANG,10432,INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CRUDE PALM KERNEL OIL),2.96239,99.80254,POINT (99.80254 2.96239)
16,"DJAJA PUTRA INDONESIA, PT",SUMATERA UTARA,ASAHAN,DUSUN 3,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.67156,99.42774,POINT (99.42774 2.67156)
17,"GUNUNG MELAYU, PT",SUMATERA UTARA,ASAHAN,DUSUN 8 BATU ANAM,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.749235,99.470683,POINT (99.470683 2.749235)
18,"JAMPALAN BARU, PT",SUMATERA UTARA,ASAHAN,JAMPALAN KM.10 SIMPANG EMPAT,20231,INDUSTRI SABUN DAN BAHAN PEMBERSIH KEPERLUAN RUMAH TANGGA,2.91974,99.735384,POINT (99.735384 2.91974)
19,"KARYA MITRA ANDALAN, PT",SUMATERA UTARA,ASAHAN,DUSUN 3 PULAU MARIA,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.784405,99.618262,POINT (99.618262 2.784405)
20,"PADASA ENAM UTAMA, PT",SUMATERA UTARA,ASAHAN,DUSUN I EMPLASMEN KEBUNAN TELUK DALAM KEC. TELUK DALAM,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.5371,99.4053,POINT (99.4053 2.5371)
21,"PRIMA PALM LATEX INDUSTRI, PT",SUMATERA UTARA,ASAHAN,DUSUN 7 HUTA PADANG,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.7830555,99.253888,POINT (99.253888 2.7830555)
22,"PUTRA MANDIRI, CV",SUMATERA UTARA,ASAHAN,"JL. PERINTIS DUSUN 18, SIMPANG EMPAT",10219,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA UNTUK IKAN,2.92198,99.73408,POINT (99.73408 2.92198)
23,"SAUDARA SEJATI LUHUR, PT",SUMATERA UTARA,ASAHAN,DUSUN VII,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.4726,99.3558,POINT (99.3558 2.4726)
24,"SAWIT ASAHAN TETAP UTUH, PT",SUMATERA UTARA,ASAHAN,DUSUN IV PULAU MARIA KECAMATAN TELUK DALAM,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.766242,99.6145,POINT (99.6145 2.766242)
25,"SAWITA INTER PERKASA, PT",SUMATERA UTARA,ASAHAN,SIONGGANG BUNTU,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.79851,99.44356,POINT (99.44356 2.79851)
26,"SEJAHTERA, CV",SUMATERA UTARA,ASAHAN,AIR JOMAN,10424,INDUSTRI PELET KELAPA,2.9952,99.72245,POINT (99.72245 2.9952)
27,"SINTONG ABADI, PT",SUMATERA UTARA,ASAHAN,DUSUN 1 HESSA AIR GENTING KECAMATAN AIR BATU,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),2.92477,99.7066,POINT (99.7066 2.92477)
28,"SRI SUMATERA SEJAHTERA, PT",SUMATERA UTARA,ASAHAN,JL. SENTUL KEDAI LADANG KEC. KISARAN TIMUR,22122,INDUSTRI REMILLING KARET,2.964166,99.642777,POINT (99.642777 2.964166)
29,"WIPOLIMEX RAYA, PT",SUMATERA UTARA,ASAHAN,JL. PROF. HM. YAMIN NO. 62 LINGKUNGAN II,22122,INDUSTRI REMILLING KARET,2.9636111,99.633888,POINT (99.633888 2.9636111)
30,"BALI MODA BUSANA, PT",BALI,BADUNG,"JL. JANTUK ANGSA NO.11, PERERENAN, KEC. MENGWI, KABUPATEN BADUNG, BALI 80351",14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-8.63132,115.13291,POINT (115.13291 -8.63132)
31,COCO ROTI,BALI,BADUNG,"JL. TAMAN GIRI, GG. MAWAR NO.  02",17012,INDUSTRI KERTAS BUDAYA,-8.788598181,115.1970685,POINT (115.1970685 -8.788598181)
32,"DELIGHTING RAYA BALI, PT",BALI,BADUNG,JL. BATU CULUNG NO.1 KEROBOKAN KUTA UTARA BADUNG BALI,25995,INDUSTRI LAMPU DARI LOGAM,-8.638726,115.172777,POINT (115.172777 -8.638726)
33,"KARYA BETON SUDHIRA, PT",BALI,BADUNG,"JL. ULUWATU II, JIMBARAN",23957,INDUSTRI MORTAR ATAU BETON SIAP PAKAI,-8.783282,115.173811,POINT (115.173811 -8.783282)
34,"KARYA TANGAN INDAH, PT <GUNAWAN>",BALI,BADUNG,BD BATURNING,32112,INDUSTRI BARANG PERHIASAN DARI LOGAM MULIA UNTUK KEPERLUAN PRIBADI,-8.5420785,115.2171528,POINT (115.2171528 -8.5420785)
35,"KING TRADING, PT",BALI,BADUNG,JL. RAYA KEROBOKAN IX BR SEMER,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-8.38322,115.10132,POINT (115.10132 -8.38322)
36,LEGONG BERKARYA,BALI,BADUNG,JL. BY PASS NGURAH RAI LINGKUNGAN PESALAKAN,10710,INDUSTRI PRODUK ROTI DAN KUE,-8.737838789,115.1681972,POINT (115.1681972 -8.737838789)
37,MINISTRY OF BAKERY,BALI,BADUNG,JL. TAMAN BARUNA PERUMAHAN SARI JIMBARAN BLOK BOUGENVILLE NO. 36,10710,INDUSTRI PRODUK ROTI DAN KUE,-8.629812956,115.2254945,POINT (115.2254945 -8.629812956)
38,"MITRA SEJATI, CV",BALI,BADUNG,"JL. PETITENGET 112A, KEROBOKAN, KUTA, BALI",18111,INDUSTRI PENCETAKAN UMUM,-8.67163,115.16193,POINT (115.16193 -8.67163)
39,"PANTAI KAYU AYU, PT",BALI,BADUNG,JL. PERANCAK NO 2 BR TEGALGUNDUL,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-8.65882,115.14024,POINT (115.14024 -8.65882)
40,"SATRIA PANGAN SEJATI, PT",BALI,BADUNG,JL. KEDIRI NO. 36A KUTA,10130,INDUSTRI PENGOLAHAN DAN PENGAWETAN PRODUK DAGING DAN DAGING UNGGAS,-8.738252,115.1704029,POINT (115.1704029 -8.738252)
41,SPA FAKTORI BALI,BALI,BADUNG,JL. PURA PENGULAPAN NO.  3,20231,INDUSTRI SABUN DAN BAHAN PEMBERSIH KEPERLUAN RUMAH TANGGA,-8.646630564,115.1143116,POINT (115.1143116 -8.646630564)
42,TAN'S BAKERY,BALI,BADUNG,JL. LEGIAN NOMOR 131 LINGKUNGAN PELASA,25920,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM,-8.727817577,115.1728427,POINT (115.1728427 -8.727817577)
43,TRI HITA CITRA PERSADA,BALI,BADUNG,JL. BANJAR AUMAN,11010,INDUSTRI MINUMAN BERALKOHOL HASIL DESTILASI,-8.3149,115.2132,POINT (115.2132 -8.3149)
44,"WARISAN EURINDO, PT",BALI,BADUNG,"JL. RAYA PADANG LUWIH NO.198, DALUNG, BR. TEGAL JAYA",31001,INDUSTRI FURNITUR DARI KAYU,-8.633379,115.175766,POINT (115.175766 -8.633379)
45,"WIHADI JAYA, PT",BALI,BADUNG,"BR. BLUNGBANG, . PENARUNGAN, MENGWI",11051,INDUSTRI AIR KEMASAN,-8.333,115.115,POINT (115.115 -8.333)
46,"YMB FURNITURE, CV",BALI,BADUNG,JL. PANTAI BERAWA NO 128,31001,INDUSTRI FURNITUR DARI KAYU,-8.3854,115.1857,POINT (115.1857 -8.3854)
47,"AIR KRISTAL LESTARI, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. MILONO NO. 21-23 RT 40,11051,INDUSTRI AIR KEMASAN,-1.1618,116.5012,POINT (116.5012 -1.1618)
48,"ALLESIA INTERNATIONAL, PT / AIR MINUM CLUB, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. TELAGA SARI RT.36 NO.45 MARTADINATA,11051,INDUSTRI AIR KEMASAN,1.26954,116.83331,POINT (116.83331 1.26954)
49,"BOGA JAYA, CV",KALIMANTAN TIMUR,BALIKPAPAN,JL. RAWA MANGUN RT 10 KEL. LAMARU KEC. BALIKPAPAN TIMUR,10710,INDUSTRI PRODUK ROTI DAN KUE,-1.19932,116.97807,POINT (116.97807 -1.19932)
50,"BORINDO REKATAMA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. MT HARYONO RT 30 /. LETKOL POL. ASNAWI ARBANI,33122,REPARASI MESIN UNTUK KEPERLUAN KHUSUS,-1.152,116.52119,POINT (116.52119 -1.152)
51,"BUMI INTAN GEMILANG, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. SULTAN HASANUDDIN KM 5.5 NO.23A-B RT.048 KARANG JOANG  BALIKPAPAN 76127 | KALIMANTAN TIMUR-INDONESIA,33122,REPARASI MESIN UNTUK KEPERLUAN KHUSUS,-1.1750712,116.8488898,POINT (116.8488898 -1.1750712)
52,"DUMA NUSATAMA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. MULAWARMAN RT 32 NO 15,25920,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM,1.23327,116.95551,POINT (116.95551 1.23327)
53,"INDRA INTERNATIONAL INDONESIA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. SOEKARNO HATTA KM 7 NO 62 RT 37 KEL. GRAHA INDAH KEC. BALIKPAPAN UTARA,22112,INDUSTRI VULKANISIR BAN,-1.20508,116.87648,POINT (116.87648 -1.20508)
54,"KALTIM HOUTEN, PT",KALIMANTAN TIMUR,BALIKPAPAN,"JL. MULAWARMAN, RT 108 NO. 5",10531,INDUSTRI PENGOLAHAN ES KRIM,-1.2574,116.92,POINT (116.92 -1.2574)
55,"KUTAI REFINERY NUSANTARA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. TELUK WARU RT.9,10437,INDUSTRI MINYAK GORENG KELAPA SAWIT,-1.104,116.472,POINT (116.472 -1.104)
56,"LIEBHERR INDONESIA PERKASA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. MULAWARMAN NO 19 RT. 23,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-1.2406081,116.9463059,POINT (116.9463059 -1.2406081)
57,"MULIA JAYA MANDIRI, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. SULTAN HASANUDIN NO.22 RT.48,28240,"INDUSTRI MESIN PENAMBANGAN, PENGGALIAN DAN KONSTRUKSI",-1.1032,116.5119,POINT (116.5119 -1.1032)
58,"OSSIANA SAKTI EKAMAJU, PT",KALIMANTAN TIMUR,BALIKPAPAN,"JL. MULAWARMAN KM. 16,5",22112,INDUSTRI VULKANISIR BAN,-1.2507945,116.9294952,POINT (116.9294952 -1.2507945)
59,"SANGGAR SARANA BAJA, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. SULTAN HASANUDIN NO 8,33122,REPARASI MESIN UNTUK KEPERLUAN KHUSUS,-1.20333,116.81731,POINT (116.81731 -1.20333)
60,"SUMBER KALIMANTAN ABADI, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. MULAWARMAN NO. 99,10293,INDUSTRI PEMBEKUAN BIOTA AIR LAINNYA,-1.23341,116.9565,POINT (116.9565 -1.23341)
61,"SURYA BIRU MURNI ACETYLENE, PT",KALIMANTAN TIMUR,BALIKPAPAN,"JL. MULAWARMAN KM. 18 NO. 70 RT. 24 KM. 18 /JL. MULAWARMAN 00, BATAKAN, BALIKPAPAN TIMUR, KALTIM",20112,INDUSTRI KIMIA DASAR ANORGANIK GAS INDUSTRI,-1.2370887,116.9505634,POINT (116.9505634 -1.2370887)
62,"TEDMONNINDO PRATAMASEMESTA, UD",KALIMANTAN TIMUR,BALIKPAPAN,JL. KOL SYARIFUDIN YOES RT 13,22210,INDUSTRI BARANG DARI PLASTIK UNTUK BANGUNAN,1.25258,116.89646,POINT (116.89646 1.25258)
63,"TJOKRO BERSAUDARA BALIKPAPANINDO, PT",KALIMANTAN TIMUR,BALIKPAPAN,JL. PULAU BALANG,33119,REPARASI PRODUK LOGAM PABRIKASI LAINNYA,-1.16293,116.85308,POINT (116.85308 -1.16293)
64,AGRI LESTARI NUSANTARA,LAMPUNG,BANDAR LAMPUNG,JL. IR. SUTAMI KM 7 NO.57 GG. MASJID,16292,INDUSTRI BARANG ANYAMAN DARI TANAMAN BUKAN ROTAN DAN BAMBU,-5.4257197,105.3240723,POINT (105.3240723 -5.4257197)
65,"AMAN JAYA PERDANA, PT",LAMPUNG,BANDAR LAMPUNG,JL. IR SUTAMI,10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-5.4254246,105.3268987,POINT (105.3268987 -5.4254246)
66,"DAYA RADAR UTAMA, PT",LAMPUNG,BANDAR LAMPUNG,JL. ALAMSYAH RATU PRAWIRA NEGARA KM. 12 SERENGSEM PANJANG,30111,INDUSTRI KAPAL DAN PERAHU,-5.5013295,105.3300789,POINT (105.3300789 -5.5013295)
67,"GOLDEN SARI, PT",LAMPUNG,BANDAR LAMPUNG,JL. SOEKARNO HATTA KMG NO 29,10490,INDUSTRI MINYAK MENTAH DAN LEMAK NABATI DAN HEWANI LAINNYA,-5.4111147,105.2921623,POINT (105.2921623 -5.4111147)
68,"GRAMER, PT",LAMPUNG,BANDAR LAMPUNG,JL. YOS SUDARSO NO 20,23969,"INDUSTRI BARANG DARI MARMER, GRANIT DAN BATU LAINNYA",-5.296545,105.0879892,POINT (105.0879892 -5.296545)
69,"KARYA JAYA, CV",LAMPUNG,BANDAR LAMPUNG,WALA ABADI KM. 6 WAY LAGA,22299,INDUSTRI BARANG PLASTIK LAINNYA YTDL,-5.3939824,105.2006975,POINT (105.2006975 -5.3939824)
70,KENCANA INTAN METALINDO,LAMPUNG,BANDAR LAMPUNG,"JL. IR. SUTAMI KM 7, CAMPANG JAYA",25119,INDUSTRI BARANG DARI LOGAM SIAP PASANG UNTUK KONSTRUKSI LAINNYA,-5.3889273,105.2860909,POINT (105.2860909 -5.3889273)
71,"RATU POLA BUMI, PT",LAMPUNG,BANDAR LAMPUNG,SALAN IR SUTAMI LK 1,23953,INDUSTRI BARANG DARI SEMEN DAN KAPUR UNTUK KONSTRUKSI,-5.4219569,105.3290629,POINT (105.3290629 -5.4219569)
72,"SEMEN BATURAJA, PT",LAMPUNG,BANDAR LAMPUNG,JL. YOS SUDARSO KM 7 PANJANG,23941,INDUSTRI SEMEN,-5.4594,105.31622,POINT (105.31622 -5.4594)
73,"SUMBER ORGANIK, CV",LAMPUNG,BANDAR LAMPUNG,JL. P. TIRTAYASA GG. NUSA INDAH KP. KECAPI,20125,INDUSTRI PUPUK HARA MAKRO SEKUNDER,-5.4155664,105.3223233,POINT (105.3223233 -5.4155664)
74,"TUNAS BARU LAMPUNG, PT TBK",LAMPUNG,BANDAR LAMPUNG,JL. YOS SUDARSO NO 29,10415,INDUSTRI MINYAK GORENG BUKAN MINYAK KELAPA DAN MINYAK KELAPA SAWIT,-5.45468,105.31117,POINT (105.31117 -5.45468)
75,VISI PRIMA ARTHA,LAMPUNG,BANDAR LAMPUNG,JL. TEMBESU NO. 13 A CAMPANG RAYA,13926,INDUSTRI KARUNG BUKAN GONI,-5.410141,105.2987836,POINT (105.2987836 -5.410141)
76,ABADI MAJU INDAH JAYA,JAWA BARAT,BANDUNG,JL. CIGONDEWAH RAHAYU NO. 7,22220,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN,-6.948189995,107.56415,POINT (107.56415 -6.948189995)
77,ADE PLASTIC PRATAMA,JAWA BARAT,BANDUNG,JL. PARALON II NO 7,19291,INDUSTRI PRODUK DARI HASIL KILANG MINYAK BUMI,-6.930210016,107.5665,POINT (107.5665 -6.930210016)
78,"ALBESTA, CV",JAWA BARAT,BANDUNG,JL. RAYA LASWI NO.43,13132,INDUSTRI PENYEMPURNAAN KAIN,-7.04862,107.74096,POINT (107.74096 -7.04862)
79,"ALFA SARANA INSANI, PT <HARA",JAWA BARAT,BANDUNG,JL. RAYA BANJARAN KP CINAGREG,13111,INDUSTRI PERSIAPAN SERAT TEKSTIL,-7.015832,107.607009,POINT (107.607009 -7.015832)
80,ALIREKA CIPTA LASINDO,JAWA BARAT,BANDUNG,KOMPLEK CIPAGANTI RAHAYU REGENCY F-5,25111,INDUSTRI BARANG DARI LOGAM BUKAN ALUMINIUM SIAP PASANG UNTUK BANGUNAN,-6.961645737,107.6755258,POINT (107.6755258 -6.961645737)
81,"ALTINEX, PT",JAWA BARAT,BANDUNG,JL. PANGHEGAR NO 7,25999,INDUSTRI BARANG LOGAM LAINNYA YTDL,-6.9252,107.7105,POINT (107.7105 -6.9252)
82,"AMARTEX, PT",JAWA BARAT,BANDUNG,JL. RANCAEKEK MAJALAYA NO. 372,13121,INDUSTRI PERTENUNAN (BUKAN PERTENUNAN KARUNG GONI DAN KARUNG LAINNYA),-7.00761,107.74891,POINT (107.74891 -7.00761)
83,ANATA NUSINDO,JAWA BARAT,BANDUNG,JL. RAYA LASWI NO 7,13121,INDUSTRI PERTENUNAN (BUKAN PERTENUNAN KARUNG GONI DAN KARUNG LAINNYA),-7.04542,107.355,POINT (107.355 -7.04542)
84,ANEKA KREASI PANGAN,JAWA BARAT,BANDUNG,JL. BATU RENGAT NO 9,10710,INDUSTRI PRODUK ROTI DAN KUE,-6.5647,107.3549,POINT (107.3549 -6.5647)
85,ANEKA PRODUKSI ERAMURNI,JAWA BARAT,BANDUNG,JL. BABAKAN HANTAP 33,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.910116287,107.6461824,POINT (107.6461824 -6.910116287)
86,"ANGCONA MESTIKA UNISOLE, CV",JAWA BARAT,BANDUNG,"JL. KYAI CARINGIN, BLOK B-2 NO.439, BABAKAN",15201,INDUSTRI ALAS KAKI UNTUK KEPERLUAN SEHARI-HARI,-6.94316,107.57051,POINT (107.57051 -6.94316)
87,ANGGANA KURNIA PUTRA,JAWA BARAT,BANDUNG,JL. MEKARSARI NO. 2,13132,INDUSTRI PENYEMPURNAAN KAIN,-7.0012,107.65409,POINT (107.65409 -7.0012)
88,"ANTUSA MITRA ABADI, PT",JAWA BARAT,BANDUNG,JL. CIBOLERANG NO.33B,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.95346,107.5785,POINT (107.5785 -6.95346)
89,"ANUGERAH ABADI, CV",JAWA BARAT,BANDUNG,JL. SUKAMAJU NO 308 A,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.5954,107.3433,POINT (107.3433 -6.5954)
90,ANUGERAH JAYA ABADI,JAWA BARAT,BANDUNG,"JL. SADANG BUNTU NOMOR 9, RUKUN TETANGGA 002, RUKUN WARGA 009",10431,INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL),-6.955039979,107.56826,POINT (107.56826 -6.955039979)
91,ANUGERAH KARYA NYATA,JAWA BARAT,BANDUNG,JL. HOLIS NO. 141 BANDUNG,17099,INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA YTDL,-6.926785941,107.5745784,POINT (107.5745784 -6.926785941)
92,ANUGRAH,JAWA BARAT,BANDUNG,JL. ASTANA ANYAR 176/22A,21012,INDUSTRI PRODUK FARMASI UNTUK MANUSIA,-6.9164953,107.5974557,POINT (107.5974557 -6.9164953)
93,"ANUGRAH ABADI, CV",JAWA BARAT,BANDUNG,JL. SUMBERHURIP NO. 30-19 NO. 1,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.938235,107.57587,POINT (107.57587 -6.938235)
94,ANUGRAH DAMAI ABADI,JAWA BARAT,BANDUNG,JL. CICUKANG 1A KOMPLEK INDUSTRY PRAPANCA,15112,INDUSTRI PENYAMAKAN KULIT,-6.93728495,107.5695951,POINT (107.5695951 -6.93728495)
95,APOLLO AGUNG CHEMICAL INDUSTRY,JAWA BARAT,BANDUNG,JL. MOCH TOHA KM 7,20114,INDUSTRI KIMIA DASAR ANORGANIK LAINNYA,-6.976371,107.619134,POINT (107.619134 -6.976371)
96,ARJUNA PLASTIK,JAWA BARAT,BANDUNG,JL. HOLIS NO. 240,22220,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN,-6.931757146,107.5725305,POINT (107.5725305 -6.931757146)
97,"ARYA DUTA, CV",JAWA BARAT,BANDUNG,JL. MELONG ASIH NO. 58,13911,INDUSTRI KAIN RAJUTAN,-6.9194,107.5635,POINT (107.5635 -6.9194)
98,"ASIA BARU PLASTIK, PT",JAWA BARAT,BANDUNG,"JL. MEKAR RAYA KAV 08, MEKAR MULYA, PANYILEUKAN BANDUNG",22220,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN,-6.930861978,107.7024072,POINT (107.7024072 -6.930861978)
99,"ASIA JAYA BERSAMA PLASTIK, CV",JAWA BARAT,BANDUNG,JL. SADANG RAHAYU 39C/12A RAHAYU MARGA ASIH,22299,INDUSTRI BARANG PLASTIK LAINNYA YTDL,-6.955405,107.563552,POINT (107.563552 -6.955405)
100,"ASIA JAYA BERSAMA PLASTIK, CV",JAWA BARAT,BANDUNG,JL. SADANG RAHAYU 39C/12A RAHAYU MARGA ASIH,22220,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN,-6.956252,107.563523,POINT (107.563523 -6.956252)
101,ATARI PLASTIK,JAWA BARAT,BANDUNG,JL. TERUSAN SURYANI NO 243,22299,INDUSTRI BARANG PLASTIK LAINNYA YTDL,-6.92833,107.57599,POINT (107.57599 -6.92833)
102,"AVANTI RAGAM SUKSES, PT",JAWA BARAT,BANDUNG,JL. SATRIA RAYA  II NO. 30-21 KEL MARGAHAYU UTARA,15201,INDUSTRI ALAS KAKI UNTUK KEPERLUAN SEHARI-HARI,-6.946861559,107.5713261,POINT (107.5713261 -6.946861559)
103,"AXAN TEKSTIL, PT",JAWA BARAT,BANDUNG,JL. BUAH DUA NO 40,13112,INDUSTRI PEMINTALAN BENANG,-6.956145,107.769154,POINT (107.769154 -6.956145)
104,"BAGUS JAYATEX, CV/CITA BAHANA INTI, CV",JAWA BARAT,BANDUNG,JL. RAYA LASWI/WARUSATANGKAL NO.11,13111,INDUSTRI PERSIAPAN SERAT TEKSTIL,-7.04585,107.73654,POINT (107.73654 -7.04585)
105,"BANDUNG INDAH GEMILANG, PT",JAWA BARAT,BANDUNG,"JL. CARINGIN NO.439N, MARGAHAYU UTARA",13921,INDUSTRI BARANG JADI TEKSTIL UNTUK KEPERLUAN RUMAH TANGGA,-6.94392,107.56971,POINT (107.56971 -6.94392)
106,BANGUN SEHAT JAYA,JAWA BARAT,BANDUNG,GANG SALEH NO. 1,21012,INDUSTRI PRODUK FARMASI UNTUK MANUSIA,-6.911609986,107.59614,POINT (107.59614 -6.911609986)
107,"BAROKAH, PT",JAWA BARAT,BANDUNG,KP SUKAMANAH,13992,INDUSTRI YANG MENGHASILKAN KAIN KEPERLUAN INDUSTRI,-7.04531,107.77023,POINT (107.77023 -7.04531)
108,BERKAT POLAR KREASITAMA,JAWA BARAT,BANDUNG,JL. PAGARSIH NO. 15,20115,INDUSTRI KIMIA DASAR ORGANIK YANG BERSUMBER DARI HASIL PERTANIAN,-6.923300017,107.5979,POINT (107.5979 -6.923300017)
109,"BERONICA, PT",JAWA BARAT,BANDUNG,JL. RAYA BANDUNG-GARUT KM.28,14111,INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL,-6.966012,107.795998,POINT (107.795998 -6.966012)
