unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
,Indarung Cement Power Station,Pt Semen Indonesia,https://www.gem.wiki/Indarung_Cement_power_station,,100,Cancelled,Asia,Indonesia,West Sumatra,-0.95006,100.46954,"-0.95006, 100.46954"
Unit 1,Jabar Utara Power Station,Pt Pln (Persero),https://www.gem.wiki/Jabar_Utara_power_station,,300,Cancelled,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
Unit 2,Jabar Utara Power Station,Pt Pln (Persero),https://www.gem.wiki/Jabar_Utara_power_station,,300,Cancelled,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
Unit 2,Jambi Tebo Power Station,Korea Electric Power Corp,https://www.gem.wiki/Jambi_Tebo_power_station,,200,Cancelled,Asia,Indonesia,Jambi,-1.39,102.42,"-1.39, 102.42"
Unit 2,Jambi-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jambi-1_power_station,,300,Permitted,Asia,Indonesia,Jambi,-2.1375,102.95722,"-2.1375, 102.95722"
Unit 1,Jawa-6 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jawa-6_power_station,,1000,Cancelled,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
Unit 1,Kabil Pkb Power Station,Pt Pembangunan Kota Batam,https://www.gem.wiki/Kabil_PKB_power_station,,60,Cancelled,Asia,Indonesia,Riau,1.589,101.638,"1.589, 101.638"
Unit 2,Kabil Pkb Power Station,Pt Pembangunan Kota Batam,https://www.gem.wiki/Kabil_PKB_power_station,,60,Cancelled,Asia,Indonesia,Riau,1.589,101.638,"1.589, 101.638"
Unit 1,Kalbar-1 Power Station,Golden Concord Holdings,https://www.gem.wiki/Kalbar-1_power_station,,100,Operating,Asia,Indonesia,West Kalimantan,0.81615,108.84613,"0.81615, 108.84613"
Unit 2,Kalbar-1 Power Station,Golden Concord Holdings,https://www.gem.wiki/Kalbar-1_power_station,,100,Operating,Asia,Indonesia,West Kalimantan,0.81615,108.84613,"0.81615, 108.84613"
Unit 1,Kalimantan Cement Works Power Station,Heidelbergcement Ag,https://www.gem.wiki/Kalimantan_Cement_Works_power_station,,55,Operating,Asia,Indonesia,South Kalimantan,-3.27291,116.10589,"-3.27291, 116.10589"
Unit 2,Kalselteng-1 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Kalselteng-1_power_station,,100,Operating,Asia,Indonesia,Central Kalimantan,-1.3708,113.5672,"-1.3708, 113.5672"
Unit 1,Kalselteng-3 Power Station,Pembangkitan Jawa Bali Investasi,https://www.gem.wiki/Kalselteng-3_power_station,,100,Cancelled,Asia,Indonesia,Central Kalimantan,-2.80863,111.64307,"-2.80863, 111.64307"
Unit 2,Kalselteng-3 Power Station,Pembangkitan Jawa Bali Investasi,https://www.gem.wiki/Kalselteng-3_power_station,,100,Cancelled,Asia,Indonesia,Central Kalimantan,-2.80863,111.64307,"-2.80863, 111.64307"
Unit 1,Kalteng-1 Pulang Pisau Power Station,Pt Pln (Persero),https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station,,60,Operating,Asia,Indonesia,Central Kalimantan,-2.82265,114.20883,"-2.82265, 114.20883"
Unit 2,Kalteng-1 Pulang Pisau Power Station,Pt Pln (Persero),https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station,,60,Operating,Asia,Indonesia,Central Kalimantan,-2.82265,114.20883,"-2.82265, 114.20883"
Unit 2,Kaltim Ftp2 Power Station,Pt Pln (Persero),https://www.gem.wiki/Kaltim_FTP2_power_station,,100,Operating,Asia,Indonesia,East Kalimantan,0.05518,117.49459,"0.05518, 117.49459"
Unit 1,Kaltim-4 Power Station,Pt Indonesia Energi Dinamika,https://www.gem.wiki/Kaltim-4_power_station,,100,Operating,Asia,Indonesia,Central Kalimantan,-0.36501,117.06505,"-0.36501, 117.06505"
Unit 1,Kaltimra Power Station,Pt Pln (Persero),https://www.gem.wiki/Kaltimra_power_station,,200,Cancelled,Asia,Indonesia,Kalimantan,1.227,114.577,"1.227, 114.577"
Unit 2,Karang Asem Power Station,China Power International Development Co Ltd; Oceanwide Holdings Co Ltd; Pt Satya Abadi Semesta,https://www.gem.wiki/Karang_Asem_power_station,,100,Cancelled,Asia,Indonesia,Bali,-8.36667,115.51667,"-8.36667, 115.51667"
Unit 1,Keban Agung Power Station,Priamanaya Djan International,https://www.gem.wiki/Keban_Agung_power_station,,135,Operating,Asia,Indonesia,South Sumatra,-3.75149,103.64809,"-3.75149, 103.64809"
"Phase I, Unit 3",Ketapang Smelter Power Station,China Hongqiao Group; Harita Group,https://www.gem.wiki/Ketapang_Smelter_power_station,,30,Operating,Asia,Indonesia,West Kalimantan,-2.36618,110.15727,"-2.36618, 110.15727"
Unit 2,Kipi Power Station,Park Joung In,https://www.gem.wiki/KIPI_power_station,,200,Shelved,Asia,Indonesia,East Kalimantan,0.81595,117.93077,"0.81595, 117.93077"
Phase Iv,Komering Agung Power Station,Pt Pembangunan Perumahan,https://www.gem.wiki/Komering_Agung_Power_Station,,30,Cancelled,Asia,Indonesia,South Sumatra,-4.97647,105.18568,"-4.97647, 105.18568"
Unit 1,Lampung Sebalang Power Station,Pt Pln (Persero),https://www.gem.wiki/Lampung_Sebalang_power_station,,100,Operating,Asia,Indonesia,Lampung,-5.58594,105.38719,"-5.58594, 105.38719"
Unit 2,Lombok 2 Power Station,Pt Pln (Persero),https://www.gem.wiki/Lombok_2_power_station,,50,Cancelled,Asia,Indonesia,West Nusa Tenggara,-8.34803,116.71717,"-8.34803, 116.71717"
Unit 1,Lombok 4 Power Station,To Be Determined,https://www.gem.wiki/Lombok_4_power_station,,50,Cancelled,Asia,Indonesia,West Nusa Tenggara,-8.57328,116.35112,"-8.57328, 116.35112"
Unit 2,Madura Ptba Power Station,Pt Bukit Asam Tbk,https://www.gem.wiki/Madura_PTBA_power_station,,225,Cancelled,Asia,Indonesia,East Java,-7.07773,113.28709,"-7.07773, 113.28709"
Unit 1,Medan Steel Mill Power Station,Nanjing Iron And Steel Co Ltd; Pt Gunung Gahapi,https://www.gem.wiki/Medan_Steel_Mill_power_station,,30,Operating,Asia,Indonesia,North Sumatra,3.66757,98.66539,"3.66757, 98.66539"
Unit 1,Mulut Tambang Power Station,To Be Determined,https://www.gem.wiki/Mulut_Tambang_power_station,,600,Cancelled,Asia,Indonesia,South Sumatra,-2.618,103.127,"-2.618, 103.127"
Unit 4,Nagan Raya Power Station,China Datang Overseas Investment Co Ltd [62.0%]; Pt Pembangunan Perumahan [33.7%],https://www.gem.wiki/Nagan_Raya_power_station,,200,Construction,Asia,Indonesia,Aceh,4.11564,96.20241,"4.11564, 96.20241"
Unit 3,Nalco East Kutai Power Station,Mec Coal; Nalco Holding Co,https://www.gem.wiki/NALCO_East_Kutai_power_station,,250,Cancelled,Asia,Indonesia,East Kalimantan,1.254,116.682,"1.254, 116.682"
Unit 4,Nalco East Kutai Power Station,Mec Coal; Nalco Holding Co,https://www.gem.wiki/NALCO_East_Kutai_power_station,,250,Cancelled,Asia,Indonesia,East Kalimantan,1.254,116.682,"1.254, 116.682"
Unit 5,Nalco East Kutai Power Station,Mec Coal; Nalco Holding Co,https://www.gem.wiki/NALCO_East_Kutai_power_station,,250,Cancelled,Asia,Indonesia,East Kalimantan,1.254,116.682,"1.254, 116.682"
"Phase Ii, Unit 3",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iii, Unit 1",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iii, Unit 4",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iv, Unit 4",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
Unit 1,Pacitan Power Station,Pt Pln (Persero),https://www.gem.wiki/Pacitan_power_station,,315,Operating,Asia,Indonesia,East Java,-8.25782,111.37356,"-8.25782, 111.37356"
Unit 8,Paiton-1 Power Station,Ratch Group Plc [45.5%]; Qatar Electricity And Water Company Qpsc [21.3%]; Ras Laffan Operating Company Wll [14.2%]; Chubu Electric Power Co Inc [7.0%]; Tokyo Electric Power Co [7.0%]; Pt Toba Bara Sejahtra Tbk [5.0%],https://www.gem.wiki/Paiton-1_power_station,,615,Operating,Asia,Indonesia,East Java,-7.7153,113.58571,"-7.7153, 113.58571"
,Paiton-3 Power Station,Ratch Group Plc [45.5%]; Qatar Electricity And Water Company Qpsc [21.3%]; Ras Laffan Operating Company Wll [14.2%]; Chubu Electric Power Co Inc [7.0%]; Tokyo Electric Power Co [7.0%]; Pt Toba Bara Sejahtra Tbk [5.0%],https://www.gem.wiki/Paiton-3_power_station,,825,Operating,Asia,Indonesia,East Java,-7.71446,113.58326,"-7.71446, 113.58326"
Unit 2,Palangkaraya Power Station,Pt Pln (Persero),https://www.gem.wiki/Palangkaraya_power_station,,150,Cancelled,Asia,Indonesia,Central Kalimantan,-1.769,113.654,"-1.769, 113.654"
Unit 3,Pangkalan Susu Power Station,Pt Pln (Persero),https://www.gem.wiki/Pangkalan_Susu_power_station,,200,Operating,Asia,Indonesia,North Sumatra,4.12071,98.25823,"4.12071, 98.25823"
Unit 4,Parit Baru Power Station,Gezhouba Group; Pt Praba Indopersada,https://www.gem.wiki/Parit_Baru_power_station,,50,Permitted,Asia,Indonesia,West Kalimantan,0.05798,109.20362,"0.05798, 109.20362"
Unit 1,Pelabuhan Ratu Power Station,Pt Pln (Persero),https://www.gem.wiki/Pelabuhan_Ratu_power_station,,350,Operating,Asia,Indonesia,West Java,-7.0242,106.5464,"-7.0242, 106.5464"
Unit 2,Pelabuhan Ratu Power Station,Pt Pln (Persero),https://www.gem.wiki/Pelabuhan_Ratu_power_station,,350,Operating,Asia,Indonesia,West Java,-7.0242,106.5464,"-7.0242, 106.5464"
Unit 3,Pelabuhan Ratu Power Station,Pt Pln (Persero),https://www.gem.wiki/Pelabuhan_Ratu_power_station,,350,Operating,Asia,Indonesia,West Java,-7.0242,106.5464,"-7.0242, 106.5464"
"Phase Ii, Unit 1",Pt Halmahera Persada Lygend Nickel Smelter Power Station,Harita Group [63.1%]; Ningbo Lygend [36.9%],https://www.gem.wiki/PT_Halmahera_Persada_Lygend_Nickel_Smelter_power_station,,150,Construction,Asia,Indonesia,Maluku,-1.56143,127.42103,"-1.56143, 127.42103"
"Phase Iii, Unit 8",Pt Halmahera Persada Lygend Nickel Smelter Power Station,Harita Group [63.1%]; Ningbo Lygend [36.9%],https://www.gem.wiki/PT_Halmahera_Persada_Lygend_Nickel_Smelter_power_station,,380,Pre-Permit,Asia,Indonesia,Maluku,-1.56143,127.42103,"-1.56143, 127.42103"
Unit 2,Shenhua Guohua Power Station,China Energy Investment Corp [70.0%]; Energi Musi Makmur [30.0%],https://www.gem.wiki/Shenhua_Guohua_power_station,,150,Operating,Asia,Indonesia,South Sumatra,-3.40138,104.11863,"-3.40138, 104.11863"
Phase Ii,Sorong Power Station,Jgc Holdings Corp,https://www.gem.wiki/Sorong_power_station,,1000,Cancelled,Asia,Indonesia,West Papua,-0.86667,131.25,"-0.86667, 131.25"
Unit 1,Sulbagsel-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Sulbagsel-1_power_station,,200,Shelved,Asia,Indonesia,South Sulawesi,-3.8215,121.9721,"-3.8215, 121.9721"
Unit 1,Sulbagsel-2 Power Station,To Be Determined,https://www.gem.wiki/Sulbagsel-2_power_station,,200,Shelved,Asia,Indonesia,South Sulawesi,-3.81445,122.44775,"-3.81445, 122.44775"
Unit 1,Sulbagut-1 Power Station,Toba Bara [60.0%]; Pt Toba Bara Sejahtra Tbk [20.0%]; State Power Investment Corp [20.0%],https://www.gem.wiki/Sulbagut-1_power_station,,50,Operating,Asia,Indonesia,Gorontalo,0.9427,122.94158,"0.9427, 122.94158"
Unit 1,Sulsel-2 Power Station,To Be Determined,https://www.gem.wiki/Sulsel-2_power_station,,200,Cancelled,Asia,Indonesia,South Sulawesi,-5.70008,119.72577,"-5.70008, 119.72577"
Unit 2,Sulsel-2 Power Station,To Be Determined,https://www.gem.wiki/Sulsel-2_power_station,,200,Cancelled,Asia,Indonesia,South Sulawesi,-5.70008,119.72577,"-5.70008, 119.72577"
Unit 1,Sulut-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Sulut-1_power_station,,50,Construction,Asia,Indonesia,North Sulawesi,0.89018,123.47011,"0.89018, 123.47011"
Unit 2,Sulut-3 Power Station,Toba Bara [90.0%]; China Hydropower Construction Group New Energy Development Co Ltd [10.0%],https://www.gem.wiki/Sulut-3_power_station,,50,Operating,Asia,Indonesia,North Sulawesi,1.37433,125.08545,"1.37433, 125.08545"
Unit 2,Sumbagsel-1 Power Station,Pt Sumberenergi Sakti Prima [55.0%]; Pt Adimas Puspita Serasi [25.0%]; Pt D&C Engineering Co [10.0%]; Pt Pln (Persero) [10.0%],https://www.gem.wiki/Sumbagsel-1_power_station,,150,Pre-Permit,Asia,Indonesia,South Sumatra,-5.05743,103.83068,"-5.05743, 103.83068"
Unit 1,Sumsel-5 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Sumsel-5_power_station,,150,Operating,Asia,Indonesia,South Sumatra,-2.15625,103.75527,"-2.15625, 103.75527"
Unit 3,Sumsel-5 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Sumsel-5_power_station,,350,Shelved,Asia,Indonesia,South Sumatra,-2.15625,103.75527,"-2.15625, 103.75527"
Unit 1,Sumsel-6 Power Station,Pt Bukit Asam Tbk,https://www.gem.wiki/Sumsel-6_power_station,,300,Shelved,Asia,Indonesia,South Sumatra,-2.35576,103.44339,"-2.35576, 103.44339"
Unit 1,Tabalong Wisesa Power Station,Pt Adaro Power,https://www.gem.wiki/Tabalong_Wisesa_power_station,,30,Operating,Asia,Indonesia,South Kalimantan,-2.15859,115.44593,"-2.15859, 115.44593"
Unit 2,Tabalong Wisesa Power Station,Pt Adaro Power,https://www.gem.wiki/Tabalong_Wisesa_power_station,,30,Operating,Asia,Indonesia,South Kalimantan,-2.15859,115.44593,"-2.15859, 115.44593"
Unit 2,Tanjung Awar-Awar Power Station,Pt Pln (Persero),https://www.gem.wiki/Tanjung_Awar-Awar_power_station,,350,Operating,Asia,Indonesia,East Java,-6.81052,111.9955,"-6.81052, 111.9955"
Unit 3,Tanjung Jati B Power Station,Sumitomo Corp,https://www.gem.wiki/Tanjung_Jati_B_power_station,,660,Operating,Asia,Indonesia,Central Java,-6.446,110.7423,"-6.446, 110.7423"
Unit 5,Tanjung Jati B Power Station,Sumitomo Corp,https://www.gem.wiki/Tanjung_Jati_B_power_station,,1000,Operating,Asia,Indonesia,Central Java,-6.44649,110.74236,"-6.44649, 110.74236"
Unit 2,Tanjung Kasam Power Station,Pt Petra Unggul Sejahtera [70.0%]; Pt Intraco Penta [30.0%],https://www.gem.wiki/Tanjung_Kasam_power_station,,65,Operating,Asia,Indonesia,Riau,1.04414,104.13571,"1.04414, 104.13571"
Unit 1,Tanjung Pasir Power Station,Pt Pln (Persero),https://www.gem.wiki/Tanjung_Pasir_power_station,,200,Cancelled,Asia,Indonesia,North Sumatra,4.11019,98.21913,"4.11019, 98.21913"
Unit 2,Tanjung Pasir Power Station,Pt Pln (Persero),https://www.gem.wiki/Tanjung_Pasir_power_station,,200,Cancelled,Asia,Indonesia,North Sumatra,4.11019,98.21913,"4.11019, 98.21913"
Unit 5,Tarahan Power Station,Pt Pln (Persero),https://www.gem.wiki/Tarahan_power_station,,300,Shelved,Asia,Indonesia,Lampung,-5.52121,105.35348,"-5.52121, 105.35348"
Unit 1,Timah South Sumatra Power Station,Pt Timah Tbk,https://www.gem.wiki/Timah_South_Sumatra_power_station,,150,Cancelled,Asia,Indonesia,South Sumatra,-3.53948,103.75484,"-3.53948, 103.75484"
Unit 1,Timor-2 Power Station,To Be Determined,https://www.gem.wiki/Timor-2_power_station,,50,Cancelled,Asia,Indonesia,East Nusa Tenggara,-10.35738,123.45931,"-10.35738, 123.45931"
Unit 2,Timor-2 Power Station,To Be Determined,https://www.gem.wiki/Timor-2_power_station,,50,Cancelled,Asia,Indonesia,East Nusa Tenggara,-10.35738,123.45931,"-10.35738, 123.45931"
Unit 2,Tjiwi Kimia Paper Mill Power Station,Asia Pulp & Paper,https://www.gem.wiki/Tjiwi_Kimia_Paper_Mill_power_station,,35,Operating,Asia,Indonesia,East Java,-7.43684,112.4688,"-7.43684, 112.4688"
Unit 4,Tjiwi Kimia Paper Mill Power Station,Asia Pulp & Paper,https://www.gem.wiki/Tjiwi_Kimia_Paper_Mill_power_station,,90,Operating,Asia,Indonesia,East Java,-7.43684,112.4688,"-7.43684, 112.4688"
Unit 4,Weda Bay Power Station,Metallurgical Corporation Of China Ltd; Tsingshan Holding Group Co Ltd,https://www.gem.wiki/Weda_Bay_power_station,,250,Operating,Asia,Indonesia,North Maluku,0.47889,127.98421,"0.47889, 127.98421"
Unit 5,Weda Bay Power Station,Tsingshan Holding Group Co Ltd; Zhejiang Huayou Cobalt Co,https://www.gem.wiki/Weda_Bay_power_station,,250,Construction,Asia,Indonesia,North Maluku,0.47889,127.98421,"0.47889, 127.98421"
Unit 10,Weda Bay Power Station,Tsingshan Holding Group Co Ltd,https://www.gem.wiki/Weda_Bay_power_station,,380,Construction,Asia,Indonesia,North Maluku,0.47616,128.00815,"0.47616, 128.00815"
Unit 12,Weda Bay Power Station,Tsingshan Holding Group Co Ltd,https://www.gem.wiki/Weda_Bay_power_station,,380,Construction,Asia,Indonesia,North Maluku,0.47616,128.00815,"0.47616, 128.00815"
Phase Ii,Adaro Aluminum Smelter Power Station,Pt Adaro Power,https://www.gem.wiki/Adaro_Aluminum_Smelter_power_station,,1100,Announced,Asia,Indonesia,North Kalimantan,2.528,117.858,"2.528, 117.858"
Unit 1,Adipala Power Station,Pt Pln (Persero),https://www.gem.wiki/Adipala_power_station,,660,Operating,Asia,Indonesia,Central Java,-7.68594,109.13756,"-7.68594, 109.13756"
Unit 1,Amurang Power Station,Pt Pln (Persero),https://www.gem.wiki/Amurang_power_station,,30,Operating,Asia,Indonesia,North Sulawesi,1.1825,124.48056,"1.1825, 124.48056"
Unit 2,Asahimas Chemical Power Station,Agc Inc [52.5%]; Ableman Finance [18.0%]; Rodamas [18.0%]; Mitsubishi Corporation Energy Solutions [11.5%],https://www.gem.wiki/Asahimas_Chemical_power_station,,150,Operating,Asia,Indonesia,Banten,-6.02475,105.94264,"-6.02475, 105.94264"
Unit 1,Bakrie Sangatta Power Station,Bakrie Group,https://www.gem.wiki/Bakrie_Sangatta_power_station,,100,Cancelled,Asia,Indonesia,East Kalimantan,0.605,117.481,"0.605, 117.481"
Unit 1,Bangka Baru Power Station,Pt Pln (Persero),https://www.gem.wiki/Bangka_Baru_power_station,,30,Operating,Asia,Indonesia,Bangka-Belitung,-2.07925,106.14962,"-2.07925, 106.14962"
Unit 2,Bangka-1A Power Station,Pt Pln (Persero),https://www.gem.wiki/Bangka-1A_power_station,,50,Cancelled,Asia,Indonesia,Bangka-Belitung,-2.07925,106.14962,"-2.07925, 106.14962"
Unit 4,Bangko Tengah Power Station,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],https://www.gem.wiki/Bangko_Tengah_power_station,,660,Cancelled,Asia,Indonesia,South Sumatra,-3.734,103.759,"-3.734, 103.759"
Unit 1,Banjarsari Power Station,Pt Bukit Asam Tbk [59.8%]; Pt Pln (Persero) [37.2%],https://www.gem.wiki/Banjarsari_power_station,,110,Operating,Asia,Indonesia,South Sumatra,-3.72507,103.69039,"-3.72507, 103.69039"
Unit 1,Banten Bse Power Station,Btn Power; Pt Biidznillah Tambang Nusantara,https://www.gem.wiki/Banten_BSE_power_station,,300,Cancelled,Asia,Indonesia,Banten,-6.48576,106.03813,"-6.48576, 106.03813"
Unit 1,Banten Labuan Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Labuan_power_station,,300,Operating,Asia,Indonesia,Banten,-6.39218,105.82778,"-6.39218, 105.82778"
"Phase Ii, Unit 3",Banten Suralaya Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Suralaya_power_station,,600,Operating,Asia,Indonesia,Banten,-5.89191,106.03023,"-5.89191, 106.03023"
Unit 10,Banten Suralaya Power Station,Pt Pln (Persero) [51.0%]; Pt Barito Pacific Tbk [49.0%],https://www.gem.wiki/Banten_Suralaya_power_station,,1000,Construction,Asia,Indonesia,Banten,-5.88922,106.0336,"-5.88922, 106.0336"
Unit 1,Banyuasin Power Station,Oceanwide Holdings Co Ltd [85.0%]; Pt Satya Abadi Semesta [10.0%]; China Power International Development Co Ltd [5.0%],https://www.gem.wiki/Banyuasin_power_station,,120,Shelved,Asia,Indonesia,South Sumatra,-3.34787,103.90047,"-3.34787, 103.90047"
Unit 2,Banyuasin Power Station,Oceanwide Holdings Co Ltd [85.0%]; Pt Satya Abadi Semesta [10.0%]; China Power International Development Co Ltd [5.0%],https://www.gem.wiki/Banyuasin_power_station,,120,Shelved,Asia,Indonesia,South Sumatra,-3.34787,103.90047,"-3.34787, 103.90047"
Unit 2,Barru Power Station,Pt Pln (Persero),https://www.gem.wiki/Barru_power_station,,50,Operating,Asia,Indonesia,South Sulawesi,-4.29329,119.63135,"-4.29329, 119.63135"
Unit 2,Batu Hijau Power Station,Newmont Corp,https://www.gem.wiki/Batu_Hijau_power_station,,31,Operating,Asia,Indonesia,West Nusa Tenggara,-8.90117,116.73821,"-8.90117, 116.73821"
Unit 2,Bau-Bau Power Station,To Be Determined,https://www.gem.wiki/Bau-Bau_Power_Station,,30,Cancelled,Asia,Indonesia,Southeast Sulawesi,-5.45942,122.60595,"-5.45942, 122.60595"
Unit 2,Bengkayang Power Station,Pt Pln (Persero),https://www.gem.wiki/Bengkayang_Power_Station,,50,Operating,Asia,Indonesia,West Kalimantan,0.83511,108.87368,"0.83511, 108.87368"
Unit 3,Btn Dumai Power Station,Btn Power,https://www.gem.wiki/BTN_Dumai_power_station,,150,Cancelled,Asia,Indonesia,Riau,1.589,101.638,"1.589, 101.638"
Unit 4,Celukan Bawang Power Station,Pt General Energy Indonesia; Pt Merryline International,https://www.gem.wiki/Celukan_Bawang_power_station,,330,Cancelled,Asia,Indonesia,Bali,-8.19629,114.85157,"-8.19629, 114.85157"
,Cilegon Ptip Power Station,Indorama Ventures,https://www.gem.wiki/Cilegon_PTIP_Power_Station,,40,Operating,Asia,Indonesia,Banten,-6.02389,105.95013,"-6.02389, 105.95013"
Unit 1,Cirebon Power Station,Marubeni Corp [32.5%]; Korea Electric Power Corp [27.5%]; Pt Indika Energy Tbk [20.0%]; Samtan [20.0%],https://www.gem.wiki/Cirebon_power_station,,660,Operating,Asia,Indonesia,West Java,-6.77029,108.61486,"-6.77029, 108.61486"
Unit 1,Delong Nickel Phase I Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_I_power_station,,30,Operating,Asia,Indonesia,South Sulawesi,-3.90754,122.41926,"-3.90754, 122.41926"
Unit 3,Delong Nickel Phase I Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_I_power_station,,50,Operating,Asia,Indonesia,South Sulawesi,-3.90754,122.41926,"-3.90754, 122.41926"
Unit 09,Delong Nickel Phase Ii Power Station,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],https://www.gem.wiki/Delong_Nickel_Phase_II_power_station,,380,Operating,Asia,Indonesia,Southeast Sulawesi,-3.82749,122.46275,"-3.82749, 122.46275"
Unit 01,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,135,Operating,Asia,Indonesia,Central Sulawesi,-2.00469,121.43807,"-2.00469, 121.43807"
Unit 04,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,135,Construction,Asia,Indonesia,Central Sulawesi,-2.00469,121.43807,"-2.00469, 121.43807"
Unit 06,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,135,Construction,Asia,Indonesia,Central Sulawesi,-2.00469,121.43807,"-2.00469, 121.43807"
Unit 1,East Halmahera Power Station,Pt Tambang Batubara Bukit Asam,https://www.gem.wiki/East_Halmahera_power_station,,45,Shelved,Asia,Indonesia,North Maluku,0.83251,128.28527,"0.83251, 128.28527"
Unit 2,East Halmahera Power Station,Pt Tambang Batubara Bukit Asam,https://www.gem.wiki/East_Halmahera_power_station,,45,Shelved,Asia,Indonesia,North Maluku,0.83251,128.28527,"0.83251, 128.28527"
Unit 1,Fajar Power Station,Siam Cement Group,https://www.gem.wiki/FAJAR_power_station,,55,Operating,Asia,Indonesia,West Java,-6.27265,107.12402,"-6.27265, 107.12402"
Unit 1,Haltim Power Station,Pt Pln (Persero),https://www.gem.wiki/Haltim_power_station,,200,Cancelled,Asia,Indonesia,North Maluku,1.01802,128.26606,"1.01802, 128.26606"
,Indo Bharat Rayon Power Station,Aditya Birla Group,https://www.gem.wiki/Indo_Bharat_Rayon_power_station,,36,Operating,Asia,Indonesia,West Java,-6.4858,107.3852,"-6.4858, 107.3852"
Unit 2,Indramayu Power Station,Pt Pln (Persero),https://www.gem.wiki/Indramayu_power_station,,330,Operating,Asia,Indonesia,West Java,-6.27474,107.97043,"-6.27474, 107.97043"
Unit 4,Indramayu Power Station,Pt Pln (Persero),https://www.gem.wiki/Indramayu_power_station,,1000,Shelved,Asia,Indonesia,West Java,-6.27474,107.97043,"-6.27474, 107.97043"
,Jababeka Kip Power Station,Jababeka; Sembcorp Industries Ltd,https://www.gem.wiki/Jababeka_KIP_power_station,,660,Cancelled,Asia,Indonesia,Central Java,-6.89575,110.24025,"-6.89575, 110.24025"
Unit 1,Jambi-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jambi-1_power_station,,300,Permitted,Asia,Indonesia,Jambi,-2.1375,102.95722,"-2.1375, 102.95722"
,Jawa-13 Power Station,To Be Determined,https://www.gem.wiki/Jawa-13_power_station,,2000,Cancelled,Asia,Indonesia,Java,-7.26,110.66,"-7.26, 110.66"
Unit 1,Jawa-5 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jawa-5_power_station,,1000,Shelved,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
Unit 2,Jawa-5 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jawa-5_power_station,,1000,Cancelled,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
Unit 2,Jawa-6 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jawa-6_power_station,,1000,Cancelled,Asia,Indonesia,West Java,-5.93506,107.03018,"-5.93506, 107.03018"
