unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
Unit 07,Delong Nickel Phase Ii Power Station,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],https://www.gem.wiki/Delong_Nickel_Phase_II_power_station,,135,Operating,Asia,Indonesia,Southeast Sulawesi,-3.82828,122.46623,"-3.82828, 122.46623"
Unit 07,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,135,Construction,Asia,Indonesia,Central Sulawesi,-2.00469,121.43807,"-2.00469, 121.43807"
Unit 09,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,300,Construction,Asia,Indonesia,Central Sulawesi,-2.01427,121.42969,"-2.01427, 121.42969"
Unit 4,Dss Serang Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/DSS_Serang_power_station,,70,Operating,Asia,Indonesia,Banten,-6.12544,106.28921,"-6.12544, 106.28921"
Unit 1,Jambi Tebo Power Station,Korea Electric Power Corp,https://www.gem.wiki/Jambi_Tebo_power_station,,200,Cancelled,Asia,Indonesia,Jambi,-1.39,102.42,"-1.39, 102.42"
Unit 1,Jambi-2 Power Station,China Huadian Group Corp [80.0%]; Nusantara Energy Ltd [15.0%]; Pt Pembangunan Perumahan [5.0%],https://www.gem.wiki/Jambi-2_power_station,,350,Shelved,Asia,Indonesia,Jambi,-1.92842,103.18994,"-1.92842, 103.18994"
Unit 2,Jawa-7 Power Station,China Shenhua Energy Co Ltd [70.0%]; Pt Pln (Persero) [30.0%],https://www.gem.wiki/Jawa-7_power_station,,991,Operating,Asia,Indonesia,Banten,-5.99169,106.1008,"-5.99169, 106.1008"
Unit 1,Jayapura-2 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jayapura-2_power_station,,50,Cancelled,Asia,Indonesia,Papua,-2.60839,140.80748,"-2.60839, 140.80748"
Unit 2,Jayapura-2 Power Station,Pt Pln (Persero),https://www.gem.wiki/Jayapura-2_power_station,,50,Cancelled,Asia,Indonesia,Papua,-2.60839,140.80748,"-2.60839, 140.80748"
Unit 3,Jinchuan Group Wp&Rka Power Station,Jinchuan Group,https://www.gem.wiki/Jinchuan_Group_WP%26RKA_power_station,,50,Operating,Asia,Indonesia,Maluku,-1.56606,127.41593,"-1.56606, 127.41593"
Unit 2,Kalbar-3 Power Station,Pt Pln (Persero),https://www.gem.wiki/Kalbar-3_power_station,,100,Cancelled,Asia,Indonesia,West Kalimantan,0.34199,108.94031,"0.34199, 108.94031"
Unit 1,Kalselteng-1 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Kalselteng-1_power_station,,100,Operating,Asia,Indonesia,Central Kalimantan,-1.3708,113.5672,"-1.3708, 113.5672"
Unit 2,Kalselteng-5 Power Station,Pt Pln (Persero),https://www.gem.wiki/Kalselteng-5_power_station,,100,Cancelled,Asia,Indonesia,Central Kalimantan,-2.80863,111.64307,"-2.80863, 111.64307"
Unit 2,Kaltim-4 Power Station,Pt Indonesia Energi Dinamika,https://www.gem.wiki/Kaltim-4_power_station,,100,Operating,Asia,Indonesia,Central Kalimantan,-0.36501,117.06505,"-0.36501, 117.06505"
Unit 2,Keban Agung Power Station,Priamanaya Djan International,https://www.gem.wiki/Keban_Agung_power_station,,135,Operating,Asia,Indonesia,South Sumatra,-3.75149,103.64809,"-3.75149, 103.64809"
Unit 1,Kendari-3 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Kendari-3_power_station,,50,Operating,Asia,Indonesia,Southeast Sulawesi,-4.05129,122.65345,"-4.05129, 122.65345"
"Phase Ii, Unit 1",Ketapang Smelter Power Station,China Hongqiao Group; Harita Group,https://www.gem.wiki/Ketapang_Smelter_power_station,,80,Operating,Asia,Indonesia,West Kalimantan,-2.36618,110.15727,"-2.36618, 110.15727"
Unit 1,Kipi Power Station,Park Joung In,https://www.gem.wiki/KIPI_power_station,,1000,Shelved,Asia,Indonesia,East Kalimantan,0.81595,117.93077,"0.81595, 117.93077"
Unit 3,Labuhan Angin Power Station,Pt Pln (Persero),https://www.gem.wiki/Labuhan_Angin_power_station,,115,Cancelled,Asia,Indonesia,North Sumatra,1.752,98.73052,"1.752, 98.73052"
Unit 1,Lombok 3 Power Station,To Be Determined,https://www.gem.wiki/Lombok_3_power_station,,50,Cancelled,Asia,Indonesia,West Nusa Tenggara,-8.2852,116.60316,"-8.2852, 116.60316"
Unit 1,Merak Power Station,Merak Energi,https://www.gem.wiki/Merak_power_station,,60,Operating,Asia,Indonesia,Banten,-5.88403,106.06422,"-5.88403, 106.06422"
Unit 2,Nagan Raya Power Station,Unnamed Special Purpose Vehicle,https://www.gem.wiki/Nagan_Raya_power_station,,110,Operating,Asia,Indonesia,Aceh,4.10755,96.19889,"4.10755, 96.19889"
"Phase I, Unit 1",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,30,Operating,Asia,Indonesia,Riau,0.91714,104.65547,"0.91714, 104.65547"
"Phase Ii, Unit 4",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iv, Unit 3",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iv, Unit 5",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
"Phase Iv, Unit 8",Nanshan Industrial Park Power Station,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],https://www.gem.wiki/Nanshan_Industrial_Park_power_station,,150,Cancelled,Asia,Indonesia,Riau,0.91164,104.65054,"0.91164, 104.65054"
Unit 1,Ombilin Power Station,Pt Pln (Persero),https://www.gem.wiki/Ombilin_power_station,,100,Operating,Asia,Indonesia,West Sumatra,-0.60902,100.7537,"-0.60902, 100.7537"
Unit 1,Palangkaraya Power Station,Pt Pln (Persero),https://www.gem.wiki/Palangkaraya_power_station,,150,Cancelled,Asia,Indonesia,Central Kalimantan,-1.769,113.654,"-1.769, 113.654"
Unit 2,Pangkalan Susu Power Station,Pt Barito Pacific Tbk,https://www.gem.wiki/Pangkalan_Susu_power_station,,220,Operating,Asia,Indonesia,North Sumatra,4.12071,98.25823,"4.12071, 98.25823"
Unit 1,Parit Baru Power Station,Gezhouba Group; Pt Praba Indopersada,https://www.gem.wiki/Parit_Baru_power_station,,50,Operating,Asia,Indonesia,West Kalimantan,0.05798,109.20362,"0.05798, 109.20362"
Unit 2,Parit Baru Power Station,Gezhouba Group; Pt Praba Indopersada,https://www.gem.wiki/Parit_Baru_power_station,,50,Operating,Asia,Indonesia,West Kalimantan,0.05798,109.20362,"0.05798, 109.20362"
,Pati Intp Power Station,Heidelbergcement Ag,https://www.gem.wiki/Pati_INTP_power_station,,60,Cancelled,Asia,Indonesia,Central Java,-6.70878,111.02011,"-6.70878, 111.02011"
Unit 11,Perawang Mill Power Station,Sinar Mas Group,https://www.gem.wiki/Perawang_Mill_power_station,,150,Operating,Asia,Indonesia,Riau,0.68932,101.61907,"0.68932, 101.61907"
Unit 06,Perawang Mill Power Station,Sinar Mas Group,https://www.gem.wiki/Perawang_Mill_power_station,,90,Operating,Asia,Indonesia,Riau,0.68932,101.61907,"0.68932, 101.61907"
Unit 07,Perawang Mill Power Station,Sinar Mas Group,https://www.gem.wiki/Perawang_Mill_power_station,,90,Operating,Asia,Indonesia,Riau,0.68932,101.61907,"0.68932, 101.61907"
Unit 1,Pindo-Deli-Ii Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Pindo-Deli-Ii_power_station,,50,Operating,Asia,Indonesia,West Java,-6.38547,107.34362,"-6.38547, 107.34362"
