annual_production,annual_production_unit,capacity,capacity_unit,cost,cost_unit,country,country_ownership,esg_impact_ecological,esg_impact_social,esg_link,esg_story,id,image,latitude,longitude,parent_esg_impact,parent_project_type,project_id,project_name,project_type,province_city,relevant_links,shareholder_ownership,source,source_id,status
100000,ton,120000,ton,-,USD,Indonesia,China:40;Indonesia:60,Water Pollution;Air Pollution;Soil Pollution,,"https://jatamsulteng.org/smelter-pt-cor-ii-diduga-cemari-lingkungan/, https://kumparan.com/paluposo/warga-morowali-utara-terus-tagih-janji-pt-cor-industri-indonesia-1vPBSKbudpV/full",,4Cbu2WwzcO9amcSqVUIZ2Q,,-1.94215,121.32164,,Processing,4Cbu2WwzcO9amcSqVUIZ2Q,COR Industri Indonesia,Ferro Nickel,"Sulawesi Tengah, Morowali Utara",https://kumparan.com/paluposo/warga-morowali-utara-terus-tagih-janji-pt-cor-industri-indonesia-1vPBSKbudpV;https://www.centralomega.com/id/operation/smelter/overview;  https://investasi.kontan.co.id/news/central-omega-dkft-mengambil-alih-saham-perusahaan-smelter-nikel-dari-anak-usaha,PT Central Omega Resources Tbk:60;PT Macrolink Nickel Development:40,indonesia,4Cbu2WwzcO9amcSqVUIZ2Q,Active
200000,ton,100000,ton,400000000,USD,Indonesia,China:40;Indonesia:60,Water Pollution;Air Pollution;Soil Pollution,,"https://jatamsulteng.org/smelter-pt-cor-ii-diduga-cemari-lingkungan/, https://kumparan.com/paluposo/warga-morowali-utara-terus-tagih-janji-pt-cor-industri-indonesia-1vPBSKbudpV/full",,4Cbu2WwzcO9amcSqVUIZIE,,-1.94215,121.32164,,Processing,4Cbu2WwzcO9amcSqVUIZIE,COR Industri Indonesia,Nickel Pig Iron,"Sulawesi Tengah, Morowali Utara",https://kumparan.com/paluposo/warga-morowali-utara-terus-tagih-janji-pt-cor-industri-indonesia-1vPBSKbudpV;https://www.centralomega.com/id/operation/smelter/overview;  https://investasi.kontan.co.id/news/central-omega-dkft-mengambil-alih-saham-perusahaan-smelter-nikel-dari-anak-usaha,PT Central Omega Resources Tbk:60;PT Macrolink Nickel Development:40,indonesia,4Cbu2WwzcO9amcSqVUIZIE,Active
,ton,829000,ton,700000000,USD,Indonesia,China:37;Indonesia:63,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities","https://betahita.id/news/detail/8627/jatam-surati-ojk-soal-kerusakan-lingkungan-pulau-obi.html?v=1681894184,https://drive.google.com/file/d/1lmry4dEO4ZG9ix9CImHfz2gRxED6nYi8/view",,4Cbu2WwzcO9amcSqVUIZRi,,-1.559868041,127.4273084,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIZRi,Halmahera Jaya Feronikel,Ferro Nickel,"Maluku Utara, Halmahera Selatan",https://www.jatam.org/wp-content/uploads/2023/04/HARITA-GROUP-JATAM-Report-Bhs-Ing-1.pdf;https://hjferonikel.com/id/;  https://www.minergynews.com/read/2021/11/05/8891/pt-halmahera-jaya-feronikel.html,Lygend Resources Technology Co. Ltd:37;PT Obira Jaya:63,indonesia,4Cbu2WwzcO9amcSqVUIZRi,Active
,ton,700000,ton,850000000,USD,Indonesia,China:90; Indonesia:10,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,"https://www.rai.it/dl/doc/2023/11/19/1700402970903_I%20rapporti%20su%20filiera%20del%20nichel%20indonesiana%20-%20Report.pdf,https://www.beritasatu.com/news/588667/keselamatan-kerja-terancam-buruh-tuntut-tambang-nikel-morowali",,4Cbu2WwzcO9amcSqVUIZbC,,-2.834125603,122.1551795,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIZbC,Indonesia Ruipu Nickel and Chrome Alloy (IRNC),Nickel Pig Iron,"Sulawesi Tengah, Morowali",https://www.etsingshan.com/Col/Col39/Index.aspx;https://www.cnbcindonesia.com/news/20230608143648-4-444217/ramai-investor-smelter-nikel-ngumpul-di-dpr-ini-daftarnya,Tsingshan:70; Ruipu Technology Group:20; IMIP:10,indonesia,4Cbu2WwzcO9amcSqVUIZbC,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUIZkg,,-2.442398531,140.3676985,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIZkg,Iriana Sentani,Ore Resources: Probable,"Papua, Jayapura",,Iriana Sentani,indonesia,4Cbu2WwzcO9amcSqVUIZkg,Potential
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUIa6o,,-1.353,122.223,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIa6o,Sinar Makmur Cemerlang,Ore Resources: Probable,"Sulawesi Tengah, Banggai",https://jatamsulteng.org/enam-perusahaan-tambang-di-banggai-tidak-kantongi-ippkh-dari-kementerian/,Iriana Sentani,indonesia,4Cbu2WwzcO9amcSqVUIa6o,Active
,ton,,ton,-,USD,Indonesia,China:100,,,,,4Cbu2WwzcO9amcSqVUIaGI,,-2.124,121.467,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIaGI,Sinosteel Indonesia Mining,Ore Resources: Proved,"Sulawesi Tengah, Morowali Utara",https://lokercepat.id/perusahaan/pt-sinosteel-indonesia-mining/;https://modi.esdm.go.id/portal/detailPerusahaan/6911?jp=1,Sinosteel Group,indonesia,4Cbu2WwzcO9amcSqVUIaGI,Active
,ton,76500,ton,10640000000,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUIaW6,,-6.209867915,106.4574092,,Processing,4Cbu2WwzcO9amcSqVUIaW6,Smelter Nikel Indonesia (SNI),MHP,"Banten, Tangerang Regency",https://economy.okezone.com/read/2023/06/18/320/2832715/pt-smelter-nikel-di-indonesia-milik-siapa; https://indonesia.go.id/kategori/editorial/2956/empat-smelter-akan-beroperasi-tahun-ini; https://news.detik.com/kolom/d-4838265/morowali-yang-berubah,Putri Mentari Indonesia:35.5; Total Prima Indonesia:31; Asrinita Mahardjanti: 31; Afandi:2;5,indonesia,4Cbu2WwzcO9amcSqVUIaW6,Active
507000,ton,2000000,ton,119000000,USD,Indonesia,China:80;Indonesia:20,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,https://www.rai.it/dl/doc/2023/11/19/1700402970903_I%20rapporti%20su%20filiera%20del%20nichel%20indonesiana%20-%20Report.pdf,,4Cbu2WwzcO9amcSqVUIavO,,-2.831669352,122.1659111,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIavO,Tsingshan Steel Indonesia (TSI),Nickel Pig Iron,"Sulawesi Tengah, Morowali",https://www.koranperdjoeangan.com/banyak-persoalan-ketenagakerjaan-puk-spl-fspmi-pt-tsingshan-steel-indonesia-berunding-bipartite-dengan-perusahaan/;https://ekbis.sindonews.com/read/889085/34/3-perusahaan-china-yang-beroperasi-di-morowali-1663564180,Shanghai Decent Investment Group (Tsingshan):80; IMIP: 20,indonesia,4Cbu2WwzcO9amcSqVUIavO,Active
,ton,60000,ton,1936314600,USD,Indonesia,Indonesia:; China:,,,,,4Cbu2WwzcO9amcSqVUIbBC,,-2.560985273,121.3810772,,Processing,4Cbu2WwzcO9amcSqVUIbBC,Huali Nickel Indonesia,MHP,"Sulawesi Tengah, Luwu Timur",https://www.cnbcindonesia.com/news/20230826131106-4-466329/vale-indonesia-gandeng-huayou-huali-garap-60000-ton-nikel;https://bisnis.tempo.co/read/1755427/profil-pt-vale-indonesia-perusahaan-tambang-nikel-yang-bakal-didivestasi-erick-thohir;  https://foto.tempo.co/read/104869/mengintip-lokasi-tambang-nikel-pt-vale-indonesia-di-sorowako-sulsel;  https://www.vale.com/documents/d/guest/ptvi-briefing-book-ino-_feb-2023,Vale; Huayou; Huali,indonesia,4Cbu2WwzcO9amcSqVUIbBC,Planned
,ton,30000,ton,-,USD,Indonesia,Indonesia:10; France:38.7; China:51.3,Water Pollution;Deforestation,Land Grabbing;Lack of Fair Compensation,https://cri.org/reports/nickel-unearthed/,,4Cbu2WwzcO9amcSqVUIcYY,,0.4783677751,127.9836284,ecological;social,Processing,4Cbu2WwzcO9amcSqVUIcYY,Weda Bay Nickel,Ferro Nickel,"Maluku Utara, Halmahera Tengah",https://www.eramet.com/en/group/sites/eramet-in-indonesia/#:~:text=Weda;https://www.nsenergybusiness.com/projects/weda-bay-nickel-project//;  https://www.dunia-energi.com/iwip-jamin-smelter-freeport-di-weda-bay-rampung-2023-ini-alasannya/,Eramet:38.7; Tsingshan:51.3; Indonesian government:10,indonesia,4Cbu2WwzcO9amcSqVUIcYY,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://www.mongabay.co.id/2023/05/18/derita-warga-pomalaa-hidup-di-tengah-himpitan-tambang-nikel/,,4Cbu2WwzcO9amcSqVUIci2,,-4.204,121.63,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIci2,Antam (Kec. POMALAA),Ore Resources: Proved,"Sulawesi Tenggara, Kab. Kolaka",https://investor.id/market/354822/menimbang-masa-depan-antam-antm-usai-dihantam-penurunan-harga-nikel,Aneka Tambang:100,indonesia,4Cbu2WwzcO9amcSqVUIci2,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://www.mongabay.co.id/2023/05/18/derita-warga-pomalaa-hidup-di-tengah-himpitan-tambang-nikel/,,4Cbu2WwzcO9amcSqVUIcrW,,-4.278,121.553,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIcrW,Antam (Kec. POMALAA),Ore Resources: Proved,"Sulawesi Tenggara, Kab. Kolaka",https://ekonomi.bisnis.com/read/20230622/44/1668181/tambang-nikel-langgar-izin-klhk-antam-antm-buka-suara,Aneka Tambang:100,indonesia,4Cbu2WwzcO9amcSqVUIcrW,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://www.mongabay.co.id/2023/05/18/derita-warga-pomalaa-hidup-di-tengah-himpitan-tambang-nikel/,,4Cbu2WwzcO9amcSqVUId10,,-4.229,121.613,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUId10,Antam (Kec. POMALAA),Ore Resources: Proved,"Sulawesi Tenggara, Kab. Kolaka",https://www.mongabay.co.id/2023/05/18/derita-warga-pomalaa-hidup-di-tengah-himpitan-tambang-nikel/,Aneka Tambang:100,indonesia,4Cbu2WwzcO9amcSqVUId10,Active
