annual_production,annual_production_unit,capacity,capacity_unit,cost,cost_unit,country,country_ownership,esg_impact_ecological,esg_impact_social,esg_link,esg_story,id,image,latitude,longitude,parent_esg_impact,parent_project_type,project_id,project_name,project_type,province_city,relevant_links,shareholder_ownership,source,source_id,status
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ0fq,,-2.84995,122.03944,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ0fq,Kencana Bumi Mineral,Mining,"Sulawesi Tengah, Morowali Regency",,PT Bintang Delapan Capital:70;PT Bintang Delapan Investama:30,indonesia,4Cbu2WwzcO9amcSqVUJ0fq,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ0pK,,-2.88875,122.12971,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ0pK,Labota Bahodopi Sorajai,Mining,"Sulawesi Tengah, Morowali Regency",,Januardi Suma:20;PT Raihan Caturputra:80,indonesia,4Cbu2WwzcO9amcSqVUJ0pK,unknown
,ton,,ton,-,USD,Indonesia,Hongkong:49;Indonesia:51,,Land Grabbing,https://journal.fib.uho.ac.id/index.php/kabantiantropologi/article/view/1636,,4Cbu2WwzcO9amcSqVUJ158,,-2.96806,122.20369,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ158,Raihan Catur Putra,Mining,"Sulawesi Tengah, Morowali Regency",https://greenmedia.co.id/konflik-agraria-di-desa-torete-advokat-lbh-layangkan-somasi-ke-pt-raihan-catur-sakti/,PT PELAYARAN ISLANDER JAYA:21; HONOR GRAIN (INTERNATIONAL) COMPANY LIMITED:49; JANUARDI SUMA:30,indonesia,4Cbu2WwzcO9amcSqVUJ158,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ1Ec,,-2.33717,121.69969,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ1Ec,Topogaro Bungbar Sorajai,Mining,"Sulawesi Tengah, Morowali Regency",,RAIHAN CATUR PUTRA:80; JANUARDI SUMA:20,indonesia,4Cbu2WwzcO9amcSqVUJ1Ec,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:99.89,Water Pollution,Land Grabbing,"https://topikterkini.com/2023/11/24/rdp-bersama-pt-enersteel-masyarakat-mohoni-dan-peboa-terkait-aktivitas-tambang-di-dprd-morut/#google_vignette, https://storysulteng.id/2024/01/10/09-pt-enersteel-serobot-tanah-warga-kades-peboa-diduga-terlibat-kongkalikong/",,4Cbu2WwzcO9amcSqVUJ1O6,,-2.15587,121.45988,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ1O6,Enersteel,Mining,"Sulawesi Tengah, North Morowali Regency",,Andi Emmi Yanti Sukandar:7.69;Endang Sukandar Allis:15.3;Norman Edward:76.9,indonesia,4Cbu2WwzcO9amcSqVUJ1O6,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Deforestation,,"https://makassar.antaranews.com/berita/45743/perusahaan-fiktif-beroperasi-di-cagar-alam-morowali ,https://www.mongabay.co.id/2012/07/05/perusahaan-tambang-beroperasi-di-cagar-alam-morowali/",,4Cbu2WwzcO9amcSqVUJ1Xa,,-1.72904,121.32668,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ1Xa,Gema Ripah Pratama,Mining,"Sulawesi Tengah, North Morowali Regency",,Jin Tje Lie:30;Legawa Adi Pramana:30;Wahju Gozali:40,indonesia,4Cbu2WwzcO9amcSqVUJ1Xa,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ1qY,,-1.68294,121.89803,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ1qY,Ghanesa Wana Utama,Mining,"Sulawesi Tengah, North Morowali Regency",,PT Hampar Barland:20;PT Vestindo Primaland:80,indonesia,4Cbu2WwzcO9amcSqVUJ1qY,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Increased Vulnerability to the Climate Crisis,,https://www.metrosulteng.com/sosial-budaya/5198391304/pt-cor-bantah-penyebab-banjir-kolonodale-elvis-tak-ada-dalil-perusahaan-mengelak,,4Cbu2WwzcO9amcSqVUJ2Cg,,-1.983,121.316,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ2Cg,Mulia Pacific Resources,Mining,"Sulawesi Tengah, North Morowali Regency",,CENTRAL OMEGA RESOURCES TBK.:99; KIKI HAMIDJAJA:1,indonesia,4Cbu2WwzcO9amcSqVUJ2Cg,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:99.99,,,,,4Cbu2WwzcO9amcSqVUJ2SU,,-1.96023,121.23095,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ2SU,Cahaya Murni Sejahtera,Mining,"Sulawesi Tengah, North Morowali Regency",,PT Gunung Mas Group:99.99;Yohanes J. Tendean:0,indonesia,4Cbu2WwzcO9amcSqVUJ2SU,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity;Social Conflict,https://www.liputan6.com/regional/read/4891228/polemik-dugaan-tambang-bijih-nikel-ilegal-di-desa-korolama-morowali-utara,,4Cbu2WwzcO9amcSqVUJ2by,,-2.0294,121.32261,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ2by,Cocoman,Mining,"Sulawesi Tengah, North Morowali Regency",,Budiman Damanik:25;Kirana Kwee:50;Tan Tung Tung:25,indonesia,4Cbu2WwzcO9amcSqVUJ2by,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://www.metrosulteng.com/sosial-budaya/51911989443/danau-tiu-di-morowali-utara-diduga-tercemar-ini-penyebabnya,,4Cbu2WwzcO9amcSqVUJ2rm,,-1.90031,121.25629,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ2rm,Sumber Swarna Pratama,Mining,"Sulawesi Tengah, North Morowali Regency",,SURIANTO:87.45; MOH. FIKRI DWI PUTRA:7.43; MIERNA LUKMAN:5.13,indonesia,4Cbu2WwzcO9amcSqVUJ2rm,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ37a,,-2.29383,121.73305,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ37a,Wosindo Mineral Perkasa,Mining,"Sulawesi Tengah, Morowali Regency",,PT SYUKUR PRIMA ABADI:80; TJANDRA KWE:20,indonesia,4Cbu2WwzcO9amcSqVUJ37a,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ3H4,,-3.13876,122.29753,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ3H4,Wosindo Perkasa,Mining,"Sulawesi Tengah, Morowali Regency",,PATOKA SARANA:80; DAVID PIAO SANREGO:20,indonesia,4Cbu2WwzcO9amcSqVUJ3H4,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ3QY,,-3.08364,122.23806,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ3QY,Loraenai Bungsel Sorajai,Mining,"Sulawesi Tengah, Morowali Regency",,Januardi Suma:20;PT Jacaranda Indonesia Investama:80,indonesia,4Cbu2WwzcO9amcSqVUJ3QY,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Social Conflict,https://palu.tribunnews.com/2021/06/21/pt-c-gong-di-banggai-diprotes-warga-dprd-minta-hentikan-altivitas#google_vignette,,4Cbu2WwzcO9amcSqVUJ3a2,,-1.60906,122.05691,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ3a2,C-Gong Perkasa,Mining,"Sulawesi Tengah, Banggai Regency",,PT MAKMUR ALAM RAYA SENTOSA:95; AFANDI:5,indonesia,4Cbu2WwzcO9amcSqVUJ3a2,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Deforestation,Corruption & Illegal Activity,https://jatamsulteng.org/enam-perusahaan-tambang-di-banggai-tidak-kantongi-ippkh/,,4Cbu2WwzcO9amcSqVUJ3pq,,-0.62606,123.07787,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ3pq,Anugerah Sumber Bumi,Mining,"Sulawesi Tengah, Banggai Regency",,PT Gemilang Mandiri Investama:20;PT Indorasa Makmur Sejahtera:80,indonesia,4Cbu2WwzcO9amcSqVUJ3pq,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Deforestation,Corruption & Illegal Activity,https://jatamsulteng.org/enam-perusahaan-tambang-di-banggai-tidak-kantongi-ippkh/,,4Cbu2WwzcO9amcSqVUJ4II,,-1.58941,122.0943,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ4II,Bumi Gemilang Perdana,Mining,"Sulawesi Tengah, Banggai Regency",,PT Bumi Gemilang Mandiri:20;PT Wahana Ajang Kreatif:80,indonesia,4Cbu2WwzcO9amcSqVUJ4II,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,,,4Cbu2WwzcO9amcSqVUJ4Rm,,-1.51089,122.20872,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ4Rm,Gemilang Bangun Perkasa,Mining,"Sulawesi Tengah, Banggai Regency",,PT Bangun Bumi Makmur:20;PT Gemilang Mandiri Perkasa:80,indonesia,4Cbu2WwzcO9amcSqVUJ4Rm,unknown
,ton,,ton,-,USD,Indonesia,Not found,Soil Pollution,Corruption & Illegal Activity;Social Conflict,"https://banggainews.com/masyarakat-petani-sawah-siuna-geruduk-kantor-pt-penta-tuntut-kompensasi-sawah-terdampak-sedimen-nikel/,https://hrc-connect.blogspot.com/2012/04/dprd-diminta-panggil-bos-pt-pantas.html",,4Cbu2WwzcO9amcSqVUJ4bG,,-0.76416,123.0337,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ4bG,Penta Dharma Karsa,Mining,"Sulawesi Tengah, Banggai Regency",https://banggainews.com/masyarakat-petani-sawah-siuna-geruduk-kantor-pt-penta-tuntut-kompensasi-sawah-terdampak-sedimen-nikel/,Not found,indonesia,4Cbu2WwzcO9amcSqVUJ4bG,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Air Pollution;Deforestation,"Lack of Fair Compensation;Intimidation, Suppression, Criminalization of Local Communities",https://trendasia.org/masyarakat-sampaikan-laporan-fakta-kerusakan-lingkungan-di-ipo-perdana-anak-usaha-harita-group/,,4Cbu2WwzcO9amcSqVUJ4r4,,-1.57739,127.44158,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ4r4,Gane Permai Sentosa,Mining,"Maluku Utara, South Halmahera Regency",,Harita Jayaraya:30;Trimegah Bangun Persada:70,indonesia,4Cbu2WwzcO9amcSqVUJ4r4,unknown
,ton,,ton,-,USD,Indonesia,Hong Kong:40; Indonesia:60,Water Pollution;Air Pollution;Deforestation,"Lack of Fair Compensation;Intimidation, Suppression, Criminalization of Local Communities",https://www.mongabay.co.id/2021/11/21/warga-kawasi-terancam-relokasi-ketika-ada-kawasan-industri-nikel-2/,,4Cbu2WwzcO9amcSqVUJ50Y,,-1.50834,127.389,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ50Y,Rimba Kurnia Alam,Mining,"Maluku Utara, South Halmahera Regency",https://rimbakurniaalam.com/,Mining Metalurgy Ltd:40; Suherman:30; Meily Enggi Karundeng:7.5; Syalomitha Aurell Harmanito:7.5; Hendrew Aifell Harmanito:7.5; Hansen Aldrich Harmanito:7.5,indonesia,4Cbu2WwzcO9amcSqVUJ50Y,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,Loss of Traditional Livelihoods,https://mercusuar.web.id/berita-utama/sagea-benteng-pertahanan-terakhir-di-halmahera-tengah/,,4Cbu2WwzcO9amcSqVUJ5GM,,0.55293,128.12783,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ5GM,Dharma Rosadi Internasional,Mining,"Maluku Utara, Central Halmahera Regency",,H. Ir. Djoni Rosadi:51; Andika Abdillah Soeria Sapardi Rosadi:10; Ridwan Jabal Tarik Suria:10; Soni Nugraha:9; PT Jacaranda Indonesia Investama:20,indonesia,4Cbu2WwzcO9amcSqVUJ5GM,unknown
,ton,,ton,-,USD,Indonesia,China:100,Water Pollution;Air Pollution,,https://kumparan.com/ceritamalukuutara/warga-kampung-sagea-halteng-minta-pt-first-pacific-mining-hentikan-aktivitas-1yjjhOeQiit/3,,4Cbu2WwzcO9amcSqVUJ5WA,,0.52505,128.04721,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ5WA,First Pacific Mining,Mining,"Maluku Utara, Central Halmahera Regency",,Wang Hong:50;Wang Qing:50,indonesia,4Cbu2WwzcO9amcSqVUJ5WA,Temporarily closed
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity,https://haliyora.id/2022/10/31/kpk-minta-dua-perusahaan-di-haltim-selesaikan-tunggakan-pajak/,,4Cbu2WwzcO9amcSqVUJ5ly,,0.61942,128.28155,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ5ly,Adhita Nikel Indonesia,Mining,"Maluku Utara, East Halmahera Regancy",,Arifin Kusni:0.5;Bumi Nusa Permai:75;Burhanudin Leman Djaelani:12.5;Darwin Chandra:1;Tan Chandra Hartanto:11,indonesia,4Cbu2WwzcO9amcSqVUJ5ly,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:9.4;Singapore:90.6,,Lack of Fair Compensation;Social Conflict,https://witness.tempo.co/article/detail/7284/warga-tutup-jalan-karena-perusahaan-tidak-bayar-kompensasi.html,,4Cbu2WwzcO9amcSqVUJ5vS,,1.048,128.144,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ5vS,Alam Raya Abadi,Mining,"Maluku Utara, East Halmahera Regancy",,Allestary Development PTE LTD:90.6;PT Bumi Bhakti Masa:9.4,indonesia,4Cbu2WwzcO9amcSqVUJ5vS,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://www.malutpost.id/2023/12/27/warna-laut-di-halmahera-timur-berubah-coklat-warga-duga-dicemari-tambang/2/,,4Cbu2WwzcO9amcSqVUJ64w,,0.73854,128.22944,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ64w,Alngit Raya,Mining,"Maluku Utara, East Halmahera Regancy",,ALNGIT RAYA,indonesia,4Cbu2WwzcO9amcSqVUJ64w,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://malut.aman.or.id/2017/01/18/bupati-larang-aktivitas-di-blok-3-haltim-mining/,,4Cbu2WwzcO9amcSqVUJ6EQ,,0.7044,128.25447,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ6EQ,Haltim Mining,Mining,"Maluku Utara, East Halmahera Regancy",,NICOLAS JOHAN KILIKILY:20; BUDIYANTO:15; PT SAS INTERNATIONAL:65,indonesia,4Cbu2WwzcO9amcSqVUJ6EQ,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://ambon.antaranews.com/berita/26013/aman-minta-izin-penambangan-di-dodaga-dicabut,,4Cbu2WwzcO9amcSqVUJ6UE,,1.013433476,128.1983027,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ6UE,Indo Bumi Nickel,Mining,"Maluku Utara, East Halmahera Regancy",,Asia Nickel Resources:99.99;Hokman Subroto:0.01,indonesia,4Cbu2WwzcO9amcSqVUJ6UE,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Deforestation,Loss of Traditional Livelihoods,https://www.tandaseru.com/2023/11/06/nelayan-bagan-halmahera-timur-dalam-cengkraman-tambang-nikel/,,4Cbu2WwzcO9amcSqVUJ6k2,,0.80133,128.25109,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ6k2,Makmur Jaya Lestari,Mining,"Maluku Utara, East Halmahera Regancy",,Hadi Rahardja:45;Lanny Arifin:5;PT Multi Kreasi Utama:15;Setyono Djuandi Darmono:17.5;Tadjudin Hidajat:17.5,indonesia,4Cbu2WwzcO9amcSqVUJ6k2,unknown
,ton,,ton,-,USD,Indonesia,Singapore:49; Indonesia:51,,Corruption & Illegal Activity,https://ti.or.id/wp-content/uploads/2024/02/Industri-Keruk-Nikel-Korupsi-Struktural-dan-Dampak-Multi-Dimensinya_web.pdf,,4Cbu2WwzcO9amcSqVUJ6zq,,0.7237017472,128.1011965,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ6zq,Position,Mining,"Maluku Utara, East Halmahera Regancy",,PT Tanito Harum Nickel:51; Nickel International Kapital; Pte.Ltd:49,indonesia,4Cbu2WwzcO9amcSqVUJ6zq,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://www.portonews.com/2024/keuangan-dan-portfolio/lingkungan-hidup/laut-halmahera-timur-terpapar-limbah-nikel-mengancam-nelayan-lokal/ ,,4Cbu2WwzcO9amcSqVUJ79K,,0.79523,128.10589,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ79K,Wana Kencana Mineral,Mining,"Maluku Utara, East Halmahera Regancy",,TRANSWISATA PRIMA AVIATION:2.1; MULTI AGRO PANGAN LESTARI:1.15; MARINA ANCOL GREEN HOTEL:6.75; GLOBAL PUTRA UTAMA:25; SEJAHTERA JAYA PRIMA:25; BAJA SELATAN LINTAS NUSANTARA:40,indonesia,4Cbu2WwzcO9amcSqVUJ79K,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Land Grabbing;Corruption & Illegal Activity,https://www.detik.com/sulsel/berita/d-7037286/klhk-sebut-rencana-pt-priven-lestari-menambang-di-haltim-belum-ajukan-ippkh,,4Cbu2WwzcO9amcSqVUJ7Io,,0.91052,128.2502,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ7Io,Priven Lestari,Mining,"Maluku Utara, East Halmahera Regancy",,MICHAEL TJAHJADI:1; PT. INDO MILLENIUM SUCCES RECORD:99,indonesia,4Cbu2WwzcO9amcSqVUJ7Io,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution,,https://halmaherapost.com/2023/09/04/4-perusahaan-tambang-di-halmahera-direkomendasikan-untuk-berhenti-berperasi/,,4Cbu2WwzcO9amcSqVUJ7SI,,0.61997,128.00903,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ7SI,Halmahera Sukses Mineral,Mining,"Maluku Utara, East Halmahera, West Halmahera Regency",,Ade Wirawan Lohisto:20;Chandra Lohisto:5;Halmahera International Investment PTE LTD:49;Rusli Lohisto:6;Sie Tjioe Jin:20,indonesia,4Cbu2WwzcO9amcSqVUJ7SI,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Corruption & Illegal Activity,"https://news.detik.com/berita/d-5480036/kejagung-sita-23-ribu-ha-lahan-tambang-milik-tersangka-asabri-heru-hidayat/1,https://www.mongabay.co.id/2023/03/27/walhi-sulsel-deforestasi-dan-degradasi-lahan-di-sulsel-di-tingkat-serius/",,4Cbu2WwzcO9amcSqVUJ7bm,,-2.62901,121.13798,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ7bm,Tiga Samudra Perkasa,Mining,"Sulawesi Selatan, East Luwu Regency",,PT. JASA PENUNJANG TAMBANG:75; WINARTO WIJONO:10; I MADE WARTSNA:7.5; SOEGENG HENDARTO:7.5,indonesia,4Cbu2WwzcO9amcSqVUJ7bm,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Social Conflict,https://www.smh.com.au/environment/sea-of-trouble-20110701-1gv49.html,,4Cbu2WwzcO9amcSqVUJ84E,,-0.05,130.117,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ84E,Kawei Sejahtera Mining,Mining,"Papua Barat, Raja Ampat Regency",,Ali Hanafia Lijaya:10;Dua Delapan Kawei:40;Jaya Bangun Makmur:30;Rowan Sukses Investama:10;Tambang Energi Sejahtera:10,indonesia,4Cbu2WwzcO9amcSqVUJ84E,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity, https://nasional.kontan.co.id/news/pemilik-dan-dirut-pt-billy-indonesia-diperiksa-kpk,,4Cbu2WwzcO9amcSqVUJ8Di,,-2.01123,112.79055,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ8Di,Billy Indonesia,Mining,"Kalimantan Tengah, East Kotawaringin Regency",,Emi Sukiati Lasimon:1;PT Billy International:99,indonesia,4Cbu2WwzcO9amcSqVUJ8Di,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Corruption & Illegal Activity,"https://www.akurat.co/hukum/1303439633/pt-citra-lampia-mandiri-diduga-lakukan-suap-pengurusan-perusahaan-di-ditjen-ahu, https://www.mongabay.co.id/2023/03/27/walhi-sulsel-deforestasi-dan-degradasi-lahan-di-sulsel-di-tingkat-serius/",,4Cbu2WwzcO9amcSqVUJ8NC,,-2.81899,121.20101,ecological;social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ8NC,Citra Lampia Mandiri,Mining,"Sulawesi Selatan, East Luwu Regency",,Aserra Citra Mineralindo:25.5;Isrullah Achmad; Ir:15;Junaidi; SH. LLM:59.5,indonesia,4Cbu2WwzcO9amcSqVUJ8NC,unknown
,ton,,ton,-,USD,Indonesia,Not found,,,,,4Cbu2WwzcO9amcSqVUJ8Wg,,-2.71238,121.23484,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ8Wg,Sumber Wahau Jaya,Mining,"Sulawesi Selatan, East Luwu Regency",,Not found,indonesia,4Cbu2WwzcO9amcSqVUJ8Wg,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,https://www.mongabay.co.id/2023/03/27/walhi-sulsel-deforestasi-dan-degradasi-lahan-di-sulsel-di-tingkat-serius/,,4Cbu2WwzcO9amcSqVUJ8mU,,-2.61668,121.17087,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ8mU,Tiga Samudra Perkasa,Mining,"Sulawesi Selatan, East Luwu Regency",,SOEGENG HENDARTO:7.5; I MADE WARTSNA:7.5; WINARTO WIJONO:10; PT. JASA PENUNJANG TAMBANG:75,indonesia,4Cbu2WwzcO9amcSqVUJ8mU,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity,https://penasultra.com/kalah-kasasi-dan-pk-di-ma-iup-pt-mandala-jayakarta-bakal-dicabut/,,4Cbu2WwzcO9amcSqVUJ8vy,,-3.42834,122.36118,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ8vy,Mandala Jayakarta,Mining,"Sulawesi Tenggara, North Konawe Regency",,Abd Rahim H Jangi:20;H. S. Achmad Djalil:5.2;Leo Robert Halim:29.6;Sarmin:20;Thobrani Alwi:5.2;Yeniayas L:20,indonesia,4Cbu2WwzcO9amcSqVUJ8vy,Closed
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity,https://indeks.co.id/2022/07/27/pt-pernick-diserobot-apollo-nickel-dan-tiran-atau-menyerobot/,,4Cbu2WwzcO9amcSqVUJ9Bm,,-3.3867,122.3632,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ9Bm,Apollo Nickel Indonesia,Mining,"Sulawesi Tenggara, North Konawe Regency",,Duta Tambang Gunung Perkasa:70;H Herry Asiku:30,indonesia,4Cbu2WwzcO9amcSqVUJ9Bm,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity,https://penasultra.id/terkait-aswad-sulaiman-kpk-periksa-4-bos-perusahaan-tambang-di-konut/,,4Cbu2WwzcO9amcSqVUJ9LG,,-3.369695446,122.3398294,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ9LG,Sinar Jaya Sultra Utama,Mining,"Sulawesi Tenggara, North Konawe Regency",,Indra Hadiwinanto:2.12; H. Herry Asiku:65; Hj. Any Husni Riso:30.76; Satria Hadiwinanto:2.12,indonesia,4Cbu2WwzcO9amcSqVUJ9LG,unknown
,ton,,ton,-,USD,Indonesia,Not found,,Land Grabbing,https://detail73.com/2023/01/12/warga-desa-tamainusi-morowali-utara-sambangi-wakil-rakyat-adukan-perusahaan-tambang-pt-latanindo-mining-berikut-persoalannya/,,4Cbu2WwzcO9amcSqVUJ9hO,,-1.86614,121.25914,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ9hO,Latanindo Mining,Mining,"Sulawesi Tengah, North Morowali Regency",,Not found,indonesia,4Cbu2WwzcO9amcSqVUJ9hO,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Land Grabbing,https://fajar.co.id/2022/09/16/heboh-pt-cahaya-ginda-ganda-diprotes-warga-disebut-serobot-jalan-hauling/,,4Cbu2WwzcO9amcSqVUJ9xC,,-2.80521,122.03496,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJ9xC,Cahaya Ginda Ganda,Mining,"Sulawesi Tengah, Morowali Regency",,PT Pagiru Berkat Mulia:50;PT Pundi Pundi Mulia:30;Shanty Alda Nathalia:20,indonesia,4Cbu2WwzcO9amcSqVUJ9xC,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,Increased Vulnerability to the Climate Crisis,,https://kailipost.com/2021/02/pt-cbp-diduga-sebabkan-banjir-lumpur-di-jalan-trans-morowali.html,,4Cbu2WwzcO9amcSqVUJAVy,,-2.78097,122.07459,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJAVy,Cetara Bangun Persada,Mining,"Sulawesi Tengah, Morowali Regency",,Andi Debbie Y. Asapa:70;Ilham Erlangga:15;Sasmito Purnomo:15,indonesia,4Cbu2WwzcO9amcSqVUJAVy,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,Corruption & Illegal Activity,https://kailipost.com/2023/02/diduga-illegal-mining-kpk1-dimintawarga-tangkap-cgg-dan-gmu.html#google_vignette,,4Cbu2WwzcO9amcSqVUJAlm,,-2.81583,122.1047,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJAlm,Graha Mining Utama,Mining,"Sulawesi Tengah, Morowali Regency",,Mineral Bumi Nusantara:20;Riz Pratama Indonesia:80,indonesia,4Cbu2WwzcO9amcSqVUJAlm,unknown
,ton,,ton,-,USD,Indonesia,Indonesia:100,,,https://www.metrosulteng.com/ekonomi/pr-5193676087/menteri-esdm-tolak-43-iup-di-sulteng-ini-daftarnyaa,,4Cbu2WwzcO9amcSqVUJAvG,,-2.82814,122.09914,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUJAvG,Sarana Maju Cemerlang,Mining,"Sulawesi Tengah, Morowali Regency",,FERRY YOGIANTO:55; YURICHO ALEXANDER YOGIANTO:15; SHARON JACQUELIN YOGIANTO:15; ANDREW AUDIAN YOGIANTO:15,indonesia,4Cbu2WwzcO9amcSqVUJAvG,unknown
