capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
135,Indonesia,"-3.82828,122.46623",-3.82828,122.46623,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 05,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-3.82828,122.46623",-3.82828,122.46623,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 08,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-2.00469,121.43807",-2.00469,121.43807,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 02,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
135,Indonesia,"-2.00469,121.43807",-2.00469,121.43807,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 03,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
300,Indonesia,"-2.01427,121.42969",-2.01427,121.42969,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 10,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
300,Indonesia,"-2.01427,121.42969",-2.01427,121.42969,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 12,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
60,Indonesia,"-0.3731,117.06246",-0.3731,117.06246,Jawa Pos Group,Embalut Power Station,Asia,Operating,East Kalimantan,Unit 3,https://www.gem.wiki/Embalut_power_station
330,Indonesia,"-7.159,112.642",-7.159,112.642,Akr Corp,Gresik Akr Power Station,Asia,Cancelled,East Java,Unit 1,https://www.gem.wiki/Gresik_AKR_power_station
330,Indonesia,"-6.27474,107.97043",-6.27474,107.97043,Pt Pln (Persero),Indramayu Power Station,Asia,Operating,West Java,Unit 1,https://www.gem.wiki/Indramayu_power_station
330,Indonesia,"-6.27474,107.97043",-6.27474,107.97043,Pt Pln (Persero),Indramayu Power Station,Asia,Operating,West Java,Unit 3,https://www.gem.wiki/Indramayu_power_station
1000,Indonesia,"-6.27474,107.97043",-6.27474,107.97043,Pt Pln (Persero),Indramayu Power Station,Asia,Cancelled,West Java,Unit 5,https://www.gem.wiki/Indramayu_power_station
