capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
140,Indonesia,"-6.11607,107.05197",-6.11607,107.05197,Pt Cikarang Listrindo,Cikarang Babelan Power Station,Asia,Operating,West Java,Unit 1,https://www.gem.wiki/Cikarang_Babelan_power_station
50,Indonesia,"-3.90754,122.41926",-3.90754,122.41926,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase I Power Station,Asia,Operating,South Sulawesi,Unit 4,https://www.gem.wiki/Delong_Nickel_Phase_I_power_station
380,Indonesia,"-3.82749,122.46275",-3.82749,122.46275,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 10,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-3.82828,122.46623",-3.82828,122.46623,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 06,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-2.00469,121.43807",-2.00469,121.43807,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 05,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
300,Indonesia,"-2.01427,121.42969",-2.01427,121.42969,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 11,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
35,Indonesia,"-6.12544,106.28921",-6.12544,106.28921,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Dss Serang Power Station,Asia,Operating,Banten,Unit 2,https://www.gem.wiki/DSS_Serang_power_station
35,Indonesia,"-6.12544,106.28921",-6.12544,106.28921,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Dss Serang Power Station,Asia,Operating,Banten,Unit 3,https://www.gem.wiki/DSS_Serang_power_station
60,Indonesia,"0.83251,128.28527",0.83251,128.28527,Pt Tambang Batubara Bukit Asam,East Halmahera Power Station,Asia,Cancelled,North Maluku,Unit 3,https://www.gem.wiki/East_Halmahera_power_station
100,Indonesia,"-0.95006,100.46954",-0.95006,100.46954,Pt Semen Indonesia,Indarung Cement Power Station,Asia,Cancelled,West Sumatra,,https://www.gem.wiki/Indarung_Cement_power_station
300,Indonesia,"-5.93506,107.03018",-5.93506,107.03018,Pt Pln (Persero),Jabar Utara Power Station,Asia,Cancelled,West Java,Unit 1,https://www.gem.wiki/Jabar_Utara_power_station
300,Indonesia,"-5.93506,107.03018",-5.93506,107.03018,Pt Pln (Persero),Jabar Utara Power Station,Asia,Cancelled,West Java,Unit 2,https://www.gem.wiki/Jabar_Utara_power_station
200,Indonesia,"-1.39,102.42",-1.39,102.42,Korea Electric Power Corp,Jambi Tebo Power Station,Asia,Cancelled,Jambi,Unit 2,https://www.gem.wiki/Jambi_Tebo_power_station
300,Indonesia,"-2.1375,102.95722",-2.1375,102.95722,Pt Pln (Persero),Jambi-1 Power Station,Asia,Permitted,Jambi,Unit 2,https://www.gem.wiki/Jambi-1_power_station
1000,Indonesia,"-5.93506,107.03018",-5.93506,107.03018,Pt Pln (Persero),Jawa-6 Power Station,Asia,Cancelled,West Java,Unit 1,https://www.gem.wiki/Jawa-6_power_station
60,Indonesia,"1.589,101.638",1.589,101.638,Pt Pembangunan Kota Batam,Kabil Pkb Power Station,Asia,Cancelled,Riau,Unit 1,https://www.gem.wiki/Kabil_PKB_power_station
60,Indonesia,"1.589,101.638",1.589,101.638,Pt Pembangunan Kota Batam,Kabil Pkb Power Station,Asia,Cancelled,Riau,Unit 2,https://www.gem.wiki/Kabil_PKB_power_station
100,Indonesia,"0.81615,108.84613",0.81615,108.84613,Golden Concord Holdings,Kalbar-1 Power Station,Asia,Operating,West Kalimantan,Unit 1,https://www.gem.wiki/Kalbar-1_power_station
100,Indonesia,"0.81615,108.84613",0.81615,108.84613,Golden Concord Holdings,Kalbar-1 Power Station,Asia,Operating,West Kalimantan,Unit 2,https://www.gem.wiki/Kalbar-1_power_station
55,Indonesia,"-3.27291,116.10589",-3.27291,116.10589,Heidelbergcement Ag,Kalimantan Cement Works Power Station,Asia,Operating,South Kalimantan,Unit 1,https://www.gem.wiki/Kalimantan_Cement_Works_power_station
100,Indonesia,"-1.3708,113.5672",-1.3708,113.5672,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Kalselteng-1 Power Station,Asia,Operating,Central Kalimantan,Unit 2,https://www.gem.wiki/Kalselteng-1_power_station
100,Indonesia,"-2.80863,111.64307",-2.80863,111.64307,Pembangkitan Jawa Bali Investasi,Kalselteng-3 Power Station,Asia,Cancelled,Central Kalimantan,Unit 1,https://www.gem.wiki/Kalselteng-3_power_station
100,Indonesia,"-2.80863,111.64307",-2.80863,111.64307,Pembangkitan Jawa Bali Investasi,Kalselteng-3 Power Station,Asia,Cancelled,Central Kalimantan,Unit 2,https://www.gem.wiki/Kalselteng-3_power_station
60,Indonesia,"-2.82265,114.20883",-2.82265,114.20883,Pt Pln (Persero),Kalteng-1 Pulang Pisau Power Station,Asia,Operating,Central Kalimantan,Unit 1,https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station
60,Indonesia,"-2.82265,114.20883",-2.82265,114.20883,Pt Pln (Persero),Kalteng-1 Pulang Pisau Power Station,Asia,Operating,Central Kalimantan,Unit 2,https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station
100,Indonesia,"0.05518,117.49459",0.05518,117.49459,Pt Pln (Persero),Kaltim Ftp2 Power Station,Asia,Operating,East Kalimantan,Unit 2,https://www.gem.wiki/Kaltim_FTP2_power_station
100,Indonesia,"-0.36501,117.06505",-0.36501,117.06505,Pt Indonesia Energi Dinamika,Kaltim-4 Power Station,Asia,Operating,Central Kalimantan,Unit 1,https://www.gem.wiki/Kaltim-4_power_station
200,Indonesia,"1.227,114.577",1.227,114.577,Pt Pln (Persero),Kaltimra Power Station,Asia,Cancelled,Kalimantan,Unit 1,https://www.gem.wiki/Kaltimra_power_station
100,Indonesia,"-8.36667,115.51667",-8.36667,115.51667,China Power International Development Co Ltd; Oceanwide Holdings Co Ltd; Pt Satya Abadi Semesta,Karang Asem Power Station,Asia,Cancelled,Bali,Unit 2,https://www.gem.wiki/Karang_Asem_power_station
135,Indonesia,"-3.75149,103.64809",-3.75149,103.64809,Priamanaya Djan International,Keban Agung Power Station,Asia,Operating,South Sumatra,Unit 1,https://www.gem.wiki/Keban_Agung_power_station
30,Indonesia,"-2.36618,110.15727",-2.36618,110.15727,China Hongqiao Group; Harita Group,Ketapang Smelter Power Station,Asia,Operating,West Kalimantan,"Phase I, Unit 3",https://www.gem.wiki/Ketapang_Smelter_power_station
200,Indonesia,"0.81595,117.93077",0.81595,117.93077,Park Joung In,Kipi Power Station,Asia,Shelved,East Kalimantan,Unit 2,https://www.gem.wiki/KIPI_power_station
30,Indonesia,"-4.97647,105.18568",-4.97647,105.18568,Pt Pembangunan Perumahan,Komering Agung Power Station,Asia,Cancelled,South Sumatra,Phase Iv,https://www.gem.wiki/Komering_Agung_Power_Station
100,Indonesia,"-5.58594,105.38719",-5.58594,105.38719,Pt Pln (Persero),Lampung Sebalang Power Station,Asia,Operating,Lampung,Unit 1,https://www.gem.wiki/Lampung_Sebalang_power_station
50,Indonesia,"-8.34803,116.71717",-8.34803,116.71717,Pt Pln (Persero),Lombok 2 Power Station,Asia,Cancelled,West Nusa Tenggara,Unit 2,https://www.gem.wiki/Lombok_2_power_station
50,Indonesia,"-8.57328,116.35112",-8.57328,116.35112,To Be Determined,Lombok 4 Power Station,Asia,Cancelled,West Nusa Tenggara,Unit 1,https://www.gem.wiki/Lombok_4_power_station
225,Indonesia,"-7.07773,113.28709",-7.07773,113.28709,Pt Bukit Asam Tbk,Madura Ptba Power Station,Asia,Cancelled,East Java,Unit 2,https://www.gem.wiki/Madura_PTBA_power_station
30,Indonesia,"3.66757,98.66539",3.66757,98.66539,Nanjing Iron And Steel Co Ltd; Pt Gunung Gahapi,Medan Steel Mill Power Station,Asia,Operating,North Sumatra,Unit 1,https://www.gem.wiki/Medan_Steel_Mill_power_station
600,Indonesia,"-2.618,103.127",-2.618,103.127,To Be Determined,Mulut Tambang Power Station,Asia,Cancelled,South Sumatra,Unit 1,https://www.gem.wiki/Mulut_Tambang_power_station
200,Indonesia,"4.11564,96.20241",4.11564,96.20241,China Datang Overseas Investment Co Ltd [62.0%]; Pt Pembangunan Perumahan [33.7%],Nagan Raya Power Station,Asia,Construction,Aceh,Unit 4,https://www.gem.wiki/Nagan_Raya_power_station
250,Indonesia,"1.254,116.682",1.254,116.682,Mec Coal; Nalco Holding Co,Nalco East Kutai Power Station,Asia,Cancelled,East Kalimantan,Unit 3,https://www.gem.wiki/NALCO_East_Kutai_power_station
250,Indonesia,"1.254,116.682",1.254,116.682,Mec Coal; Nalco Holding Co,Nalco East Kutai Power Station,Asia,Cancelled,East Kalimantan,Unit 4,https://www.gem.wiki/NALCO_East_Kutai_power_station
250,Indonesia,"1.254,116.682",1.254,116.682,Mec Coal; Nalco Holding Co,Nalco East Kutai Power Station,Asia,Cancelled,East Kalimantan,Unit 5,https://www.gem.wiki/NALCO_East_Kutai_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Ii, Unit 3",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Iii, Unit 1",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Iii, Unit 4",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Iv, Unit 4",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
315,Indonesia,"-8.25782,111.37356",-8.25782,111.37356,Pt Pln (Persero),Pacitan Power Station,Asia,Operating,East Java,Unit 1,https://www.gem.wiki/Pacitan_power_station
615,Indonesia,"-7.7153,113.58571",-7.7153,113.58571,Ratch Group Plc [45.5%]; Qatar Electricity And Water Company Qpsc [21.3%]; Ras Laffan Operating Company Wll [14.2%]; Chubu Electric Power Co Inc [7.0%]; Tokyo Electric Power Co [7.0%]; Pt Toba Bara Sejahtra Tbk [5.0%],Paiton-1 Power Station,Asia,Operating,East Java,Unit 8,https://www.gem.wiki/Paiton-1_power_station
825,Indonesia,"-7.71446,113.58326",-7.71446,113.58326,Ratch Group Plc [45.5%]; Qatar Electricity And Water Company Qpsc [21.3%]; Ras Laffan Operating Company Wll [14.2%]; Chubu Electric Power Co Inc [7.0%]; Tokyo Electric Power Co [7.0%]; Pt Toba Bara Sejahtra Tbk [5.0%],Paiton-3 Power Station,Asia,Operating,East Java,,https://www.gem.wiki/Paiton-3_power_station
150,Indonesia,"-1.769,113.654",-1.769,113.654,Pt Pln (Persero),Palangkaraya Power Station,Asia,Cancelled,Central Kalimantan,Unit 2,https://www.gem.wiki/Palangkaraya_power_station
200,Indonesia,"4.12071,98.25823",4.12071,98.25823,Pt Pln (Persero),Pangkalan Susu Power Station,Asia,Operating,North Sumatra,Unit 3,https://www.gem.wiki/Pangkalan_Susu_power_station
50,Indonesia,"0.05798,109.20362",0.05798,109.20362,Gezhouba Group; Pt Praba Indopersada,Parit Baru Power Station,Asia,Permitted,West Kalimantan,Unit 4,https://www.gem.wiki/Parit_Baru_power_station
350,Indonesia,"-7.0242,106.5464",-7.0242,106.5464,Pt Pln (Persero),Pelabuhan Ratu Power Station,Asia,Operating,West Java,Unit 1,https://www.gem.wiki/Pelabuhan_Ratu_power_station
350,Indonesia,"-7.0242,106.5464",-7.0242,106.5464,Pt Pln (Persero),Pelabuhan Ratu Power Station,Asia,Operating,West Java,Unit 2,https://www.gem.wiki/Pelabuhan_Ratu_power_station
350,Indonesia,"-7.0242,106.5464",-7.0242,106.5464,Pt Pln (Persero),Pelabuhan Ratu Power Station,Asia,Operating,West Java,Unit 3,https://www.gem.wiki/Pelabuhan_Ratu_power_station
150,Indonesia,"-1.56143,127.42103",-1.56143,127.42103,Harita Group [63.1%]; Ningbo Lygend [36.9%],Pt Halmahera Persada Lygend Nickel Smelter Power Station,Asia,Construction,Maluku,"Phase Ii, Unit 1",https://www.gem.wiki/PT_Halmahera_Persada_Lygend_Nickel_Smelter_power_station
380,Indonesia,"-1.56143,127.42103",-1.56143,127.42103,Harita Group [63.1%]; Ningbo Lygend [36.9%],Pt Halmahera Persada Lygend Nickel Smelter Power Station,Asia,Pre-Permit,Maluku,"Phase Iii, Unit 8",https://www.gem.wiki/PT_Halmahera_Persada_Lygend_Nickel_Smelter_power_station
150,Indonesia,"-3.40138,104.11863",-3.40138,104.11863,China Energy Investment Corp [70.0%]; Energi Musi Makmur [30.0%],Shenhua Guohua Power Station,Asia,Operating,South Sumatra,Unit 2,https://www.gem.wiki/Shenhua_Guohua_power_station
1000,Indonesia,"-0.86667,131.25",-0.86667,131.25,Jgc Holdings Corp,Sorong Power Station,Asia,Cancelled,West Papua,Phase Ii,https://www.gem.wiki/Sorong_power_station
200,Indonesia,"-3.8215,121.9721",-3.8215,121.9721,Pt Pln (Persero),Sulbagsel-1 Power Station,Asia,Shelved,South Sulawesi,Unit 1,https://www.gem.wiki/Sulbagsel-1_power_station
200,Indonesia,"-3.81445,122.44775",-3.81445,122.44775,To Be Determined,Sulbagsel-2 Power Station,Asia,Shelved,South Sulawesi,Unit 1,https://www.gem.wiki/Sulbagsel-2_power_station
50,Indonesia,"0.9427,122.94158",0.9427,122.94158,Toba Bara [60.0%]; Pt Toba Bara Sejahtra Tbk [20.0%]; State Power Investment Corp [20.0%],Sulbagut-1 Power Station,Asia,Operating,Gorontalo,Unit 1,https://www.gem.wiki/Sulbagut-1_power_station
200,Indonesia,"-5.70008,119.72577",-5.70008,119.72577,To Be Determined,Sulsel-2 Power Station,Asia,Cancelled,South Sulawesi,Unit 1,https://www.gem.wiki/Sulsel-2_power_station
200,Indonesia,"-5.70008,119.72577",-5.70008,119.72577,To Be Determined,Sulsel-2 Power Station,Asia,Cancelled,South Sulawesi,Unit 2,https://www.gem.wiki/Sulsel-2_power_station
50,Indonesia,"0.89018,123.47011",0.89018,123.47011,Pt Pln (Persero),Sulut-1 Power Station,Asia,Construction,North Sulawesi,Unit 1,https://www.gem.wiki/Sulut-1_power_station
50,Indonesia,"1.37433,125.08545",1.37433,125.08545,Toba Bara [90.0%]; China Hydropower Construction Group New Energy Development Co Ltd [10.0%],Sulut-3 Power Station,Asia,Operating,North Sulawesi,Unit 2,https://www.gem.wiki/Sulut-3_power_station
150,Indonesia,"-5.05743,103.83068",-5.05743,103.83068,Pt Sumberenergi Sakti Prima [55.0%]; Pt Adimas Puspita Serasi [25.0%]; Pt D&C Engineering Co [10.0%]; Pt Pln (Persero) [10.0%],Sumbagsel-1 Power Station,Asia,Pre-Permit,South Sumatra,Unit 2,https://www.gem.wiki/Sumbagsel-1_power_station
150,Indonesia,"-2.15625,103.75527",-2.15625,103.75527,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Sumsel-5 Power Station,Asia,Operating,South Sumatra,Unit 1,https://www.gem.wiki/Sumsel-5_power_station
350,Indonesia,"-2.15625,103.75527",-2.15625,103.75527,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Sumsel-5 Power Station,Asia,Shelved,South Sumatra,Unit 3,https://www.gem.wiki/Sumsel-5_power_station
300,Indonesia,"-2.35576,103.44339",-2.35576,103.44339,Pt Bukit Asam Tbk,Sumsel-6 Power Station,Asia,Shelved,South Sumatra,Unit 1,https://www.gem.wiki/Sumsel-6_power_station
30,Indonesia,"-2.15859,115.44593",-2.15859,115.44593,Pt Adaro Power,Tabalong Wisesa Power Station,Asia,Operating,South Kalimantan,Unit 1,https://www.gem.wiki/Tabalong_Wisesa_power_station
30,Indonesia,"-2.15859,115.44593",-2.15859,115.44593,Pt Adaro Power,Tabalong Wisesa Power Station,Asia,Operating,South Kalimantan,Unit 2,https://www.gem.wiki/Tabalong_Wisesa_power_station
350,Indonesia,"-6.81052,111.9955",-6.81052,111.9955,Pt Pln (Persero),Tanjung Awar-Awar Power Station,Asia,Operating,East Java,Unit 2,https://www.gem.wiki/Tanjung_Awar-Awar_power_station
660,Indonesia,"-6.446,110.7423",-6.446,110.7423,Sumitomo Corp,Tanjung Jati B Power Station,Asia,Operating,Central Java,Unit 3,https://www.gem.wiki/Tanjung_Jati_B_power_station
1000,Indonesia,"-6.44649,110.74236",-6.44649,110.74236,Sumitomo Corp,Tanjung Jati B Power Station,Asia,Operating,Central Java,Unit 5,https://www.gem.wiki/Tanjung_Jati_B_power_station
65,Indonesia,"1.04414,104.13571",1.04414,104.13571,Pt Petra Unggul Sejahtera [70.0%]; Pt Intraco Penta [30.0%],Tanjung Kasam Power Station,Asia,Operating,Riau,Unit 2,https://www.gem.wiki/Tanjung_Kasam_power_station
200,Indonesia,"4.11019,98.21913",4.11019,98.21913,Pt Pln (Persero),Tanjung Pasir Power Station,Asia,Cancelled,North Sumatra,Unit 1,https://www.gem.wiki/Tanjung_Pasir_power_station
200,Indonesia,"4.11019,98.21913",4.11019,98.21913,Pt Pln (Persero),Tanjung Pasir Power Station,Asia,Cancelled,North Sumatra,Unit 2,https://www.gem.wiki/Tanjung_Pasir_power_station
300,Indonesia,"-5.52121,105.35348",-5.52121,105.35348,Pt Pln (Persero),Tarahan Power Station,Asia,Shelved,Lampung,Unit 5,https://www.gem.wiki/Tarahan_power_station
150,Indonesia,"-3.53948,103.75484",-3.53948,103.75484,Pt Timah Tbk,Timah South Sumatra Power Station,Asia,Cancelled,South Sumatra,Unit 1,https://www.gem.wiki/Timah_South_Sumatra_power_station
50,Indonesia,"-10.35738,123.45931",-10.35738,123.45931,To Be Determined,Timor-2 Power Station,Asia,Cancelled,East Nusa Tenggara,Unit 1,https://www.gem.wiki/Timor-2_power_station
50,Indonesia,"-10.35738,123.45931",-10.35738,123.45931,To Be Determined,Timor-2 Power Station,Asia,Cancelled,East Nusa Tenggara,Unit 2,https://www.gem.wiki/Timor-2_power_station
35,Indonesia,"-7.43684,112.4688",-7.43684,112.4688,Asia Pulp & Paper,Tjiwi Kimia Paper Mill Power Station,Asia,Operating,East Java,Unit 2,https://www.gem.wiki/Tjiwi_Kimia_Paper_Mill_power_station
90,Indonesia,"-7.43684,112.4688",-7.43684,112.4688,Asia Pulp & Paper,Tjiwi Kimia Paper Mill Power Station,Asia,Operating,East Java,Unit 4,https://www.gem.wiki/Tjiwi_Kimia_Paper_Mill_power_station
250,Indonesia,"0.47889,127.98421",0.47889,127.98421,Metallurgical Corporation Of China Ltd; Tsingshan Holding Group Co Ltd,Weda Bay Power Station,Asia,Operating,North Maluku,Unit 4,https://www.gem.wiki/Weda_Bay_power_station
250,Indonesia,"0.47889,127.98421",0.47889,127.98421,Tsingshan Holding Group Co Ltd; Zhejiang Huayou Cobalt Co,Weda Bay Power Station,Asia,Construction,North Maluku,Unit 5,https://www.gem.wiki/Weda_Bay_power_station
380,Indonesia,"0.47616,128.00815",0.47616,128.00815,Tsingshan Holding Group Co Ltd,Weda Bay Power Station,Asia,Construction,North Maluku,Unit 10,https://www.gem.wiki/Weda_Bay_power_station
380,Indonesia,"0.47616,128.00815",0.47616,128.00815,Tsingshan Holding Group Co Ltd,Weda Bay Power Station,Asia,Construction,North Maluku,Unit 12,https://www.gem.wiki/Weda_Bay_power_station
1100,Indonesia,"2.528,117.858",2.528,117.858,Pt Adaro Power,Adaro Aluminum Smelter Power Station,Asia,Pre-Permit,North Kalimantan,Phase I,https://www.gem.wiki/Adaro_Aluminum_Smelter_power_station
300,Indonesia,"0.1,116.4",0.1,116.4,China Energy Investment Corp; Pt Adaro Power,Adaro East Kalimantan Power Station,Asia,Cancelled,East Kalimantan,Unit 2,https://www.gem.wiki/Adaro_East_Kalimantan_power_station
65,Indonesia,"-4.82775,136.83908",-4.82775,136.83908,Pt Puncakjaya Power,Amamapare Port Power Station,Asia,Operating,Papua,Unit 1,https://www.gem.wiki/Amamapare_Port_power_station
65,Indonesia,"-4.82775,136.83908",-4.82775,136.83908,Pt Puncakjaya Power,Amamapare Port Power Station,Asia,Operating,Papua,Unit 3,https://www.gem.wiki/Amamapare_Port_power_station
150,Indonesia,"-8.90121,116.7393",-8.90121,116.7393,Amman Mineral Nusa Tenggara,Amman Mineral Power Station,Asia,Cancelled,West Nusa Tenggara,Unit 5,https://www.gem.wiki/Amman_Mineral_power_station
30,Indonesia,"1.1825,124.48056",1.1825,124.48056,Pt Pln (Persero),Amurang Power Station,Asia,Operating,North Sulawesi,Unit 2,https://www.gem.wiki/Amurang_power_station
30,Indonesia,"-2.07925,106.14962",-2.07925,106.14962,Pt Pln (Persero),Bangka Baru Power Station,Asia,Operating,Bangka-Belitung,Unit 2,https://www.gem.wiki/Bangka_Baru_power_station
200,Indonesia,"-2.13333,106.11667",-2.13333,106.11667,Pt Pln (Persero),Bangka-1 Power Station,Asia,Cancelled,Bangka-Belitung,Unit 1,https://www.gem.wiki/Bangka-1_power_station
315,Indonesia,"-6.05887,106.4643",-6.05887,106.4643,Pt Pln (Persero),Banten Lontar Power Station,Asia,Operating,Banten,Unit 1,https://www.gem.wiki/Banten_Lontar_power_station
400,Indonesia,"-5.89191,106.03023",-5.89191,106.03023,Pt Pln (Persero),Banten Suralaya Power Station,Asia,Operating,Banten,"Phase I, Unit 4",https://www.gem.wiki/Banten_Suralaya_power_station
31,Indonesia,"-8.90117,116.73821",-8.90117,116.73821,Newmont Corp,Batu Hijau Power Station,Asia,Operating,West Nusa Tenggara,Unit 4,https://www.gem.wiki/Batu_Hijau_power_station
30,Indonesia,"-5.45942,122.60595",-5.45942,122.60595,To Be Determined,Bau-Bau Power Station,Asia,Cancelled,Southeast Sulawesi,Unit 1,https://www.gem.wiki/Bau-Bau_Power_Station
100,Indonesia,"-3.91235,102.27038",-3.91235,102.27038,Power Construction Corporation Of China Ltd [70.0%]; Pt Intraco Penta [30.0%],Bengkulu Power Station,Asia,Operating,Bengkulu,Unit 1,https://www.gem.wiki/Bengkulu_power_station
100,Indonesia,"0.89967,104.61725",0.89967,104.61725,Pln Unit Induk Wilayah Riau,Bintan Power Station,Asia,Cancelled,Riau,Unit 1,https://www.gem.wiki/Bintan_power_station
150,Indonesia,"1.589,101.638",1.589,101.638,Btn Power,Btn Dumai Power Station,Asia,Cancelled,Riau,Unit 1,https://www.gem.wiki/BTN_Dumai_power_station
65,Indonesia,"-3.73213,103.79753",-3.73213,103.79753,Pt Pln (Persero),Bukit Asam Muara Enim Power Station,Asia,Operating,South Sumatra,Unit 2,https://www.gem.wiki/Bukit_Asam_Muara_Enim_power_station
200,Indonesia,"0.605,117.481",0.605,117.481,Pt Bumi Resources,Bumi Sangatta Power Station,Asia,Shelved,East Kalimantan,Unit 2,https://www.gem.wiki/BUMI_Sangatta_power_station
142,Indonesia,"-8.19629,114.85157",-8.19629,114.85157,Pt General Energy Indonesia; Pt Merryline International,Celukan Bawang Power Station,Asia,Operating,Bali,Unit 1,https://www.gem.wiki/Celukan_Bawang_power_station
142,Indonesia,"-8.19629,114.85157",-8.19629,114.85157,Pt General Energy Indonesia; Pt Merryline International,Celukan Bawang Power Station,Asia,Operating,Bali,Unit 3,https://www.gem.wiki/Celukan_Bawang_power_station
950,Indonesia,"-6.90083,109.80369",-6.90083,109.80369,J-Power Co Ltd [34.0%]; Pt Adaro Power [34.0%]; Itochu Corp [32.0%],Central Java Power Project,Asia,Operating,Central Java,Unit 2,https://www.gem.wiki/Central_Java_Power_Project
1000,Indonesia,"-7.684,109.131",-7.684,109.131,Pt Jawa Energy,Cilacap Power Station,Asia,Cancelled,Central Java,Unit 5,https://www.gem.wiki/Cilacap_power_station
300,Indonesia,"-7.68575,109.08977",-7.68575,109.08977,Pt Sumber Segara Primadaya,Cilacap Sumber Power Station,Asia,Operating,Central Java,"Phase I, Unit 2",https://www.gem.wiki/Cilacap_Sumber_power_station
1000,Indonesia,"-7.68324,109.09638",-7.68324,109.09638,Pt Sumber Segara Primadaya,Cilacap Sumber Power Station,Asia,Operating,Central Java,"Phase Iii, Unit 4",https://www.gem.wiki/Cilacap_Sumber_power_station
924,Indonesia,"-6.77029,108.61486",-6.77029,108.61486,Marubeni Corp [32.5%]; Korea Electric Power Corp [27.5%]; Pt Indika Energy Tbk [20.0%]; Samtan [20.0%],Cirebon Power Station,Asia,Construction,West Java,Unit 2,https://www.gem.wiki/Cirebon_power_station
60,Indonesia,"-3.90754,122.41926",-3.90754,122.41926,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase I Power Station,Asia,Operating,South Sulawesi,Unit 5,https://www.gem.wiki/Delong_Nickel_Phase_I_power_station
135,Indonesia,"-3.82791,122.46827",-3.82791,122.46827,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 02,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-3.82791,122.46827",-3.82791,122.46827,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 04,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-3.82828,122.46623",-3.82828,122.46623,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],Delong Nickel Phase Ii Power Station,Asia,Operating,Southeast Sulawesi,Unit 07,https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
135,Indonesia,"-2.00469,121.43807",-2.00469,121.43807,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 07,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
300,Indonesia,"-2.01427,121.42969",-2.01427,121.42969,Jiangsu Delong Nickel Industry Co,Delong Nickel Phase Iii Power Station,Asia,Construction,Central Sulawesi,Unit 09,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
70,Indonesia,"-6.12544,106.28921",-6.12544,106.28921,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Dss Serang Power Station,Asia,Operating,Banten,Unit 4,https://www.gem.wiki/DSS_Serang_power_station
200,Indonesia,"-1.39,102.42",-1.39,102.42,Korea Electric Power Corp,Jambi Tebo Power Station,Asia,Cancelled,Jambi,Unit 1,https://www.gem.wiki/Jambi_Tebo_power_station
350,Indonesia,"-1.92842,103.18994",-1.92842,103.18994,China Huadian Group Corp [80.0%]; Nusantara Energy Ltd [15.0%]; Pt Pembangunan Perumahan [5.0%],Jambi-2 Power Station,Asia,Shelved,Jambi,Unit 1,https://www.gem.wiki/Jambi-2_power_station
